text,label
@bezalelsm נראה לי שהמקרה מזכיר לך את ימך היפים בגבעות שהיית טרוריסט גזען כמוהם לא? אין כמו קצת נוסטלגיה בזמנים קשים,Negative
נסראללה: יורש העצר הסעודי ביקש מטראמפ לרצוח אותי https://t.co/U6fdagRgiP,Negative
RT @mendy_silber: @idanlandau @saritm0 @attilus ערבי שתומך ביהודים זה ערבי מחמד? כי מה מצופה מערבי לא מחמד? ציוץ מתנשא וגזעני כלפי האוכלוס…,Negative
"@ZigdonL @YosephHaddad @idanlandau כמו שאתה אומר יום וליל ""כיבוש"" זה לא אומר שזה נכון,אי אפשר לכבוש שטח ממדינה מומצאת...",Negative
"פרסום ראשון: הרש""פ סיכלה פיגוע דקירה נגד חיילים. מקורות פלסטינים מסרו ל-@kann_news כי מנגנוני הרשות עצרו שלשום 2 פלסטיניות משכם שהיו בדרכן לדקור חיילים/מתנחלים באזור חווארה שמדרום לשכם. הן בחקירה כעת בצד הפלסטיני. הסיכול התרחש לאחר שבחודש שעבר חודש התיאום הביטחוני בין ישראל לרשות",Negative
@rtvslo תעמולת שווא סלובנית אנטישמית. השירות הציבורי הסלובני RTV מלא שנאה כלפי ישראל. אוהדי חמאס פלסטינים,Negative
RT @BayernMako: @rtvslo תעמולת שווא סלובנית אנטישמית. השירות הציבורי הסלובני RTV מלא שנאה כלפי ישראל. אוהדי חמאס פלסטינים,Negative
@Roadrun86259229 @hagarsi @DaphnaLiel כמןבן זה לא אותו דבר תמיד. אני אחסל את חמאס . אבל זה לא אותו דבר,Negative
RT @kaisos1987: לחובבי הצ'יזבטים - נסראללה מספר שאסד הסכים לפני המשבר בסוריה להעביר טילי קורנט שקנה מרוסיה לרצועת עזה וזאת בעידוד קאסם סולי…,Negative
"@idanlandau אתה מראה כאן משפחה ערבייה שהותקפה אבל בו זמנית אתה קורא ליוסף חדאד, ערבי ישראל ציוני, שהוא ערבי מחמד.... קצת צבוע , לא חושב ?! פתאום הפרצוף של תומכי הטרור כמוך מתגלה. כל הצבעים האמיתיים שלכם נחשפים! מילה אחת לא ראיתי אותך אומר נגד רצח האם לשישה ילדים לפני כמה ימים!חתיכת טרוריסט!",Negative
@aviadglickman @rothmar נו לא ברור ! מתי הם מקבלים עתירה מימין !! ימח שמם שונאי יהודים !! משתין על בגץ ועליך !!,Negative
מהנהר עד הפאקינג ים פלסטין תהיה חינם. https://t.co/PaMldIz8yo,Negative
@AdlerNaama ישר כוח נעמה השמאלנים ארורים ממש בהמות צפיתי מה שעשו אתמול עם הלפידים הם מסוכנים מאוד שמאל שפל בזוי קנאי מרושע אנרכיסט עוכר ישראל ימח שמם נבלות,Negative
השמאל בישראל הוא מרצ. על הגדר לצידם יושבים עוכרי ישראל המכונים הרשימה המשותפת. אין שמאל אחר. כל יתר המפלגות הן מרכז או מרכז ימין ציוני. https://t.co/udQIh1NVG8,Negative
"@ZigdonL @YosephHaddad @idanlandau כיבוש מבחירה. כיוון שחמאס לא מתמזג לרשות, אין מדינה פלסטינית.",Negative
