text,label
@radio103fm @Roy_Iddan @ErelSegal אבל לא לבצע פעולות טרור ואלימות !,Positive
"@netanelgla תגיד, אתה באמת מאמין שיגאל עמיר רצח אותו? כי אם כן, אפשר למכור לך כל דבר. אה, אופס, באמת כבר עשו את זה.",Positive
@Ice_pol1000RR @kann_news @carmeldangor ימח שמך!,Positive
@kann_news @carmeldangor יש לזה שם טרור?,Positive
תמונות מעזה במסגרת התרגיל הצבאי של ארגוני הטרור ברצועה. חמאס עושה רעש תקשורתי ומנסה להעביר מסר שבישראל חוששים מהתרגיל הזה. #الركن_الشديد https://t.co/FTtit8KxDC,Positive
"העובדה שברגעים אלה מתקיים בעזה תרגיל צבאי לכל דבר, כולל תרגול ירי רקטות אל הים ופשיטת ראווה של קומנדו ימי, ובכל אותה העת שמי הרצועה בהירים ושקטים, היא פשיטת רגל של המדיניות הביטחונית המוצהרת של ממשלת ישראל. מה שקורה כאן הוא למעשה הכרה בעזה כמדינה ריבונית שיש לה זכות לקיים צבא.",Positive
"@YanivTurgi @Inbalgilmore יגאל עמיר לא שונה מכל רוצח (במידה והוא אכן רצח) אחר. אם לרוצח אחר יש עונש מוקצב אז מן הראוי שגם לו יהיה. ואם אסור לתת לו לצאת לחופשי, אז מן הראוי שזה יחול על כל רוצח ורוצח. אין הבדל בין דם לדם ובין רוצח לרוצח..",Positive
"@Krak131 @shttutit משפרים דרך הסכם חברתי חדש בן המדינה לאזרח , חובות וזכויות , לא יכול להיות שחוקי מדינה לא מיושמים בכפר ערבי בטענה שהם לא יקבלו את , דרך שיולובם במוסדות צבא משטרה ודרך חינוך חינוך ועוד פעם חינוך",Positive
"@MakorRishon @ariel_schnabel למה חגי סגל, מחבל מתועב עם דם על הידיים, ממשיך לבלבל את השכל?",Positive
@Yael47196605 @chaimlevinson @ronnyeps הוא התכוון שצריך לחסן את כולם ואז אפשר לפתוח שמפניה. זה שהגיעו אלף חיסונים לא אומר שתם עידן יאפשר לשרוף מסיכות בבריכת אלכוג'ל,Positive
@shilofreid היה סיפור הרבה יותר זוועתי עם נהג מונית מוסלמי ישראלי. תוכל להזכיר לנו מה צייצת אז?,Positive
"RT @attaliami: העובדה שברגעים אלה מתקיים בעזה תרגיל צבאי לכל דבר, כולל תרגול ירי רקטות אל הים ופשיטת ראווה של קומנדו ימי, ובכל אותה העת שמי…",Positive
"@Davids_Arrow @koderius @Ahmad_tibi חחחחחחחחחחחחחח כי אצל הערבים אין ""עבודה בשחור"" אתה ליצן😂 להזכירך,פתית שלג תמים ונאיבי שכמוך.. כשנחקק החוק שנועד להקטין משמעות שימוש בכסף מזומן, קם לובי ערבי מיוחד שיתקוף את החוק.. וניתנה למגזר זה במיוחד,""תקופת הסתגלות""..ככה קוראים לזה כשלא רוצים ""להעליב את המגזר"" הבנת חומד??",Positive
"@mekomit ההסתדרות קמה כדי למלא תפקיד בקולוניזציה של פלסטין. היא קמה כדי להחליף את העבודה הפלסטינית המקומית ב""עבודה עברית"". בנוסף להיותה תאגיד של התנועה הציונית העולמית.",Positive
@vtaecest לפעמים חמאס צודקים,Positive
"לכן עוברים על הרצון לקבל שלך שני מצבים הפוכים, כי אחרת לא תוכל להרגיש את הפער הזה, בין המצב שהיית מוכן לשרוף את כל העולם אם אתה לא הכי גדול מכולם, למצב שאתה נכנע ומוכן להיות הכי נמוך מכולם.",Positive
"חוץ מלניר, חזרנו השבוע אל החברים שחגגו בבר הסימטא ביום הראשון של 2016, כשנשאת מלחם, ערבי ישראלי מערערה, החל לרסס אותם עם תת מקלע, נמלט והכניס את תושבי תל אביב למצור של ימים שלמים, ואל קמב""צ הימ""מ שניהל מרדף של שבוע אחרי המחבל עד שחוסל https://t.co/jgRWA2Bq5i",Positive
"RT @omer_nahmany: גנץ ״בזמן שצייצתם, אני נלחמתי״. לא גנץ, בזמן שאתה נכנעת לנתניהו ובגדת בבוחרים שלך אנחנו היינו מחוץ לבית שלך בראש העין וחט…",Positive
צבי יחזקאלי לאוחנה: הצבא הזמין מחבל להרצאה https://t.co/SWcLTrRvh3,Positive
RT @RotterNet: צבי יחזקאלי לאוחנה: הצבא הזמין מחבל להרצאה https://t.co/SWcLTrRvh3,Positive
"@netanelgla רצח ראש ממשלה הוא בדיוק כמו כל רצח ואפילו פחות מאבא שרוצח את ילדיו, זה לא קשור לדמוקרטיה זה קשור אך ורק לאידאולוגיה. הייתי מייחסת יותר חשיבות לנשים שנרצחות על ידי בעליהן וילדים על ידי הוריהם. מספיק כבר עם רבין, הוא בעצמו רצח יהודים.",Positive
RT @michael_mils: מורה נבוכים לצבעים שמאחורי הפלגים המשתתפים בתמרון הגדול בעזה: ירוק: חמאס. שחור: הג'האד האיסלאמי ופלגי ועדות ההתנגדות.…,Positive
"@cohen_meirav נתון מדאיג וחשוב שאת מפנה את המבט ותשומת הלב למקומות האלה. אגב, גם בדיון (לפחות לפי הזום שפרסמת) - היה משתתף ערבי אחד מבין 25 דוברים (כלומר 4% - בדומה למתחסנים). יכול להיות שיש קשר בין הדברים?",Positive
"@flika_limilki @eliorlevy על גבולות ישראל ישמור רק צה""ל, החזק מכל יריבינו גם יחד. ישראל שלי אינה כוללת את מיליוני הפלסטינים המגיעים כ'בונוס' עם הגדמ""ע ועזה שלך. ישראל שלי בוטחת בעוצמתה, לא פוחדת מאירגוני טרור להם פינינו את הרצועה כדי שיוכלו להשתלט עליה ולהשתולל ממנה ולא משלמת להם דמי חסות כמו הימין החזק.",Positive
גנץ הודיע הערב על הצטרפותו ל #MeToo כמה כבר יכולים לאנוס אותו בבדיחות?!,Positive
"@BarashiKinneret תתביישי לך , את לא חושבת שגם אלו וגם אלו ובעיקר מי אסון למדינה אבל מהרסייך ויגאל אמיר בגד במדינה, המחבלים נלחמים בנו, יגאל אמיר הרג את הדמוקרטיה, המית אסון עלינו ,ימח שמו וזכרו והלוואי וימות בכלא ביסורים קשים",Positive
https://t.co/DZfUBvAfDx,Positive
@gidonsaar גדעון בצלאל עושה לבנט פיגוע בקמפיין תסתער קח מנדטים מימינה באמת שהתלבטתי בניכם ואני בוחר בך,Positive
RT @terrorisminfo: https://t.co/DZfUBvAfDx,Positive
@AHaim10 נתניהו איננו ימין שיחרר מחבלים שחזרו לרצוח יהודים מאפשר לחמאס לירות עלינו טילים מאפשר לבדואים לגבות פרוטקשן מעשרות אלפי בעלי עסקים מגן על הדיקטטורה השיפוטית של בגץ בכל כוחו לא הפריט את התאגיד וגלצ לידי קבוצת תקשורת ימנית מאפשר להסתדרות לשדוד את התקציב באמצעות הפנסיות התקציביות,Positive
חברות שלי מעצבנות אותי רצח,Positive
@YisraelLazewnik לא ולראיה אני לא מנסה להשמיד את הפלסטינים אלא שואף לחיות איתם בשלום. אתה ממשיך לעשות להם הנחות,Positive
@ICARUSWALLS1 Girls like you חרוש רצח איךך,Positive
"@OBOW2jV7KJuKXcD @benybenshlom @YinonMagal אתה מבולבל, פיגועי טרור נגד יהודים היו קיימים מהקמת המדינה. פדאיון, חטיפות מטוסים, רקטות לצפון, אינתיפאדה, חמאס, סכינים. כמה אנשים נהרגו ברצועת הביטחון בלבנון? 1,404 אז די עם דמגוגיה המלחמה התקרבה למרכז? ברוכים הבאים למדינת ישראל.",Positive
@ItayBlumental @ynetalerts רוצח,Positive
"@1Ycmeired @YanivTurgi כל רוצח שינמק בכלאו, זהו",Positive
@Itayyehuda3 @jacobkoko @gontarzn נכון.אם היה פיגוע בחיילים אז זה היה מגיע לכותרות. למה לא מטפלים בזה?,Positive
"@YanivTurgi אני חושב שהיה צריך להוציא אותו להורג ואסביר: אדם שרצח צריך לשבת במאסר עולם באותם תנאים כמו כל רוצח אחר. אבל, מי שבגללו הנוער הישראלי עובר שטיפת מוח כבר 25 שנה בבתי הספר על ""מורשת רבין"" - ראוי לתלייה על הנזק המוחי שנגרם לאותו נוער בגללו.",Positive
@talschneider הוא עצבני רצח,Positive
"@YanivTurgi ועדיין הוא זכאי לכל מה שמקבל כל רוצח אחר , למה מפחדים שיצא מהבידוד? מה הוא יספר?",Positive
@lihitortit גם סויה מיימי רצח,Positive
וועליה אחד נפל על רימון אחד נלחם במלחמת העולם חולדה שיר טוףףףף שקון יעמליק טובה האדם שנתן לאלפי מסתננים לאנוס לגנוב להטיל אימה על דרום תל אביב עוד כלבב של העליון בגץ מלחץ אטומי זה הזמן לשים בקלפי רק מחל,Positive
@youthabit28 הוא מוכשר רצח (חוץ מהבעיות אישיות הקלות שיש לו שבגלל זה אני לא אוהבת אותו) אבל הקטע הזה פשוט חקוק לי בזיכרון בקטע מפחיד ולא בריא,Positive
"@hgkkuh @NaftaliSariel1 דמגוג מושתן. על איזה מדינות אתה מדבר? איטליה? אנגליה? ארה""ב? ספרד? כל אלו מדינות שאין להם אויב לא מבחוץ ולא מבפנים. וישראל שיש לה בנוסף לאויב החיצוני והפנימו, גם המסטול השמאלני, והתמודדה הרבה יותר טוב מכל המדינות הנזכרות.",Positive
@gantzbe אתה זוועה. לך להיבדק. אתה הפיגוע החמור ביותר במדינת ישראל. חמאסניק שטני. זה אתה. לך.,Positive
@NaturalZimprint הוא טוב רצח וזאת הבעיה שמעתי את החלק הזה בלופים יותר מידי פעמים,Positive
אוכלי הK9 ימח שמם וזכרם חולדות קניבליות רוצות לכרסם בדמוקרטיה איך אתם שמאלמנים מסתכלים על אוכל הנבלות ורצים אחריו! אתם נגועי הפראזיט חולדאי ותל-הביב ורק לא ביבי כמוטו תתפוגגו,Positive
"1/2 אנו פזורי טיגריי מבקשים מממשל ארה""ב. האיחוד האירופי והאו""ם יעשו יותר והתערבות בשטח מאשר הוצאת הצהרות אזהרה לממשל אתיופי ואריתריאה. יש עדיין רצח המוני של אנשי טיגריי. .אנחנו לא צריכים את האינטי. קהילה להזיל דמעות",Positive
2/2 ולא עושים כלום בקשר לטבח בטיגראיי. הם הכניסו את התייגרים למחנה ריכוז כמו הגדרה ומענשים את התגרים ברעב. ישראל איפה לעזאזל אתה? אתה לא נגעל מזה? האם זה לא רצח המוני מזכירים את השואה? הצילו את חיי טיגריי,Positive
@youthabit28 שמעת את those kinda nights? הוא דפוק רצח כבן אדם,Positive
"https://t.co/mMlu6w2RMy זה אמיתי? פשוט הזיה, כל השיח הפרוגרסיבי של הכלת רגשות המדוכאים שיבש לאנשים בצה""ל את המח עד שהם מביאים מחבל כדי להבין אותו. איך אפשר לנצח ככה במלחמה? צריך לחקור דחוף איך המחדל הזה התרחש",Positive
@elirazsade פלסטיני?,Positive
"@tsahi17 @Yaronben1 @cyanidewand @ShaiNaamat התקריות החמורות ביותר היו באום אל-פאחם, שם השתלטו המפגינים על צומת אום אל-פאחם וחסמו את כביש ואדי ערה לתנועה. השוטרים פתחו באש. מוחמד אחמד ג'בארין (23) מאום אל-פאחם נהרג, ואחמד ג'בארין (18) ממועאוויה נפצע באורח אנוש, ומת מפצעיו למחרת.",Positive
"@yairnetTheKing @ExitTlv @YinonMagal למה גזענות? אתה יודע שלפי היהדות אדם לא משנה גזעו - רק אמונתו והשקפתו. גר אינו הופך ל""גזע"" יהודי, הוא פשוט נעשה יהודי מאמין בגלל אמונתו. אצלי אין שום משקל לגזע כזה או אחר, נשמע לי מטומטם להאמין שגזע משפיע לרעה או טובה על אדם כלשהו בגלובוס, אבל חינוך מוסלמי לרצח כן.",Positive
"@AviBenayahu אני רק שאלה, מה ההבדל בין יגאל עמיר לכל רוצח אחר?",Positive
זה רק אני או שהקול של ניסנקורן דומה רצח לקול של ריבלין? 🥰😛🥰😛,Positive
@aviiiv @zionnenko @zehavagalon אף חקיקה היא לא נגד איש. היא יכולה להשפיע על איש. חוק שאומר ״רוצח של ראש ממשלה לעולם לא ישוחרר״ הוא לא חוק נגד יגאל עמיר. הוא ישפיע על יגאל עמיר וגם על כל רוצח ראש ממשלה שחלילה יבוא אחריו. כנ״ל חוק כהונת ראש ממשלה תחת כתב אישום וביבי (ושם יש הרבה יותר סיכוי שיהיו עוד כאלו),Positive
@nadav3023010259 @ihfemta עמוד מצחיק עשו לו סאספנד כי הוא כל הזמן שלח איומי רצח ל cark irl,Positive
"@urizaki אני רק שאלה, מה ההבדל בין יגאל עמיר לכל רוצח אחר?",Positive
"@freyisrael1 חסר לה גם אנטישמי, ישראל תגיש מועמדות.",Positive
@yariv_zur_schor @naftalibennett איך אויב? ולמה אתה וארצך עוד בחיים (חלק אומרים משגשגים בזמן לא קורונה) אם הוא ה-אויב?,Positive
"לא רק מכות רצח ממשטרה אלימה, גם מעצרי שווא וגם חטיפות... https://t.co/sAgSAU4QgD",Positive
"@YanivTurgi במה שונה יגאל עמיר מכל רוצח אחר שדינו אחר? ובבקשה בלי תשובה כמו ""הוא רצח ראש ממשלה"" גם ראש ממשלה הוא בשר ודם. יגאל עמיר רצח (בסופו של יום) בשר ודם. באמת שואלת..",Positive
@robert_rabin יש כתבה על הקומנדו חמאס בערוץ 12. יש להם זודיאק שאפשר להפציץ בסבב הבא.,Positive
נו....מי יכול היה לתת הוראה לפתוח בחקירה עם מעקב האזנות מעצרים אינסוף.....על ...מהההההה??? שוד בנקים של 100 מיליון שח..? רצח כפול ??? אונס קטנות? בניה לא חוקית ??? הכאת שוטר??? זיוף מסמכי עדויות במשפט ראש הממשלה ? על מהההההההההה??? @Halelikud https://t.co/Wy1Xv6z0GF,Positive
@NaturalZimprint מסכימה שהוא חופר רצח,Positive
@ShragaTichover @PodSaveAmerica חחחח לא יעזור אתה יודע בדיוק מה אני רואה ואתה יודע כמוני שאם לא היה טינוף על מפא״י אצל הדמוקרטים כמו שהשמאל המזרחי מרשה לעצמו לטנף ״גנרלים לבנים״ לא היתה תעודת ציוני מגיא,Positive
"@mossi_raz בעזה חיים נתיני אויב. היותם בני אדם לא צריכה לשנות מאומה, כל עוד האויב הזה משגר רקטות לעבר בני אדם שהם גם אזרחי המדינה שלך.",Positive
איפה כתוב פלסטין בתורה או בקוראן ? לא כתוב ! https://t.co/6m29OcxNZl,Positive
@TrumpHeightsHoC @AHaim10 חברים שלי לא מממנים כיבוש וחרדים 😊,Positive
"בשעה זו מפגינים עשרות תלמידי הישיבה המרכזית ב-770 מול הקונסוליה הישראלית בניו יורק, על רצח הנער אהוביה סנדק. ההפגנה מתקיימת באישור הנהלת הישיבה. https://t.co/IDEznk4DN1",Positive
RT @Un_Reporter1: נו....מי יכול היה לתת הוראה לפתוח בחקירה עם מעקב האזנות מעצרים אינסוף.....על ...מהההההה??? שוד בנקים של 100 מיליון שח..?…,Positive
"@sela_y @PodSaveAmerica אני כידוע לך, לא מאמין שהמטרה מקדשת את מכל האמצעים לא משתמש כנגד יריבי במה שאני לא רואה כראוי מצידם. יש ללא ספק שנאת אשכנזים בביביזם וגם בחלקים מהמגדירים את עצמם שמאל, אבל, בניגוד אליך, שנאה מנגד היא לא דרכי. אני גאה בהיותי ציוני וחוטף על כך משמאל לא פעם.",Positive
"@Likud_Party בזמן שראש הממשלה משעבד את תקציב המדינה לגחמותיו האישיות ומבצע פיגוע כלכלי באזרחי ישראל, בזמן שראש הממשלה נוקט בסגרים פוליטים ומרסק מיליוני אזרחים כלכלית ונפשית - בזמן הזה רוב מוחלט של הציבור שמשתקף בכנסת הבאה אומר לו לך לעזאזל",Positive
"@netanelgla ממש לא רלוונטי לעניין רצח גם אם פוליטי. כל רצח הוא רצח. אם 244 שנים של דמוקרטיה ורצח מספר נשיאים לא מצאו לנכון לחוקק חוק כזה,מי אנחנו שנחשוב שאנו חכמים יותר? ואם לחוקק חוק מדוע רטרואקטיבי? החוק הישראלי קובע מפורשות אין ענישה ללא אזהרה.",Positive
"@drmichaelbenari זאת הבעיה כאשר הופכים את היהדות ללאום ח""ו. ואז יש ייצור חדש שנקרא ""ערבי ישראלי"" שזו סתירה מיניה וביה. ""איש הישראלי"" בספרות התורנית הכוונה ל*יהודי*.",Positive
@tal_shifra וואייי דנה 2 זה רוצח לא לענות היה כבר זאתי . היא לא תבין הנוחרת ...לא ישנתי לידה כן עוד עוד,Positive
"RT @sichathageula: בשעה זו מפגינים עשרות תלמידי הישיבה המרכזית ב-770 מול הקונסוליה הישראלית בניו יורק, על רצח הנער אהוביה סנדק. ההפגנה מתקי…",Positive
"RT @PhoenixSandBird: @Likud_Party בזמן שראש הממשלה משעבד את תקציב המדינה לגחמותיו האישיות ומבצע פיגוע כלכלי באזרחי ישראל, בזמן שראש הממשלה…",Positive
@Roby1124037625 @YanivTurgi כאיש שמאל אני אומר לך שאם משווים רק ברמה האנושית אז רצח של תינוקת הוא הרבה יותר נורא מרצח של אדם קשיש. אבל הזעזוע פה הוא מרצח של אדם רב זכויות רק בגלל שהדעות שלו מנוגדות. נרצח פה רעיון ולא רק אדם (אני מקווה שאתה יכול להזדהות עם זה למרות שאני מניח שהתנגדת לרבין),Positive
