text,label
 לא חדש בכלל הוא אנטישמי הרבה.,Negative
" תגיד אתה חושב שצהל יהרוס את הבית של מחבל שניסה לרצוח ולא הצליח ? והאם אתה חושב, ותענה לי בכנות, שהם ניסו לרצוח אותו ?",Negative
" גם אני לא מגדיר את עצמי צינוי במובן שהרצל ואבות הציונות הגדירו אותו, אין בזה שום בעיה, אני ציוני רק כי אני כוסף לירושלים ובניינה הרוחני",Positive
": בחסות נתניהו גנץ וכוכבי: ברגעים אלה ארגון הטרור הרצחני חמאס מבצע תרגיל שלא היה מבייש הרבה צבאות בעולם, מול הפרצוף שלנו, ימ…",Positive
" תוסיף שנתניהו חיסל את שלטון חמאס, לא תקע רגליים לשר הביטחן ליברמן בתוכנית שלו לפגוע קשה בחמאס, לא קבר את חוק עונש מוות למחבלים ולא שחרר  רוצחים תמורת חייל אחד",Positive
צעד כזה לא ישפיע על ראשי הטרוריסטים. מה איכפת להם מבריאותם של תושבי עזה?!:.,Negative
המוטציה הבריטית פגעה בטעות במשגר טילים של החמאס... תושבי עוטף עזה נכנסו לבידוד.:.,Positive
 בן גוריון המנוול רצח יהודים ניצולי שואה על האלטלנה,Negative
" חבל, זה מכשיר טרור פלסטיני.",Negative
" לא התלהבנו אתמול שהרש""פ עצרה  פלסטיניות שהתכוונו לעשות פיגוע דקירה? ,כתבות על שת""פ ביטחוני בינינו לבין הרשות מביכות אותי כי אני יודע מה הן שוות באמת, זה טוב אולי להינדוס תודעה של הציבור בישראל אבל זה חוטא לאמת.",Negative
 לך.. שמאלני לך.. תנורי הגיהינום מוסקים כבר עבורך וממתינים לבואך. אם אתה יהודי ולא גוי מוסלמי אז.. פרשת השבוע היא פרשת ויחי. פרשה אחרונה בספר בראשית. לא נראה שאתה בכלל יודע מה זה. אבל תברר בגוגל ותקרא את הפרשה. יהיה תקון לא רע לנשמתך. מתוך שלא לשמה תגיע בעתיד לשמה.,Negative
": אבו מאזן מהרשות הרצחנית שישראל מתעקשת לשתף איתה פעולה, מעביר בבת אחת משכורת לשלושה חודשים למחבלים ובני משפחתם, אתם מבינים…",Negative
 ממתי הערבים הישראלים אוייבים שלנו?? יש ערבים ישראלים בצבא יש ערבים ישראלים בבתי חולים יש ערבים ישראלים שאוהבים את המדינה האוייבים שלנו זאת הרשימה המטונפת אלה שמהללי טרור אלה שמשתפים פעולה עם האוייב שמחתי לעזור ❤,Negative
