Post,Hate,,
כולם לשתף תיראו איך העסק עובד הכל מסריח ורקוב להקיא עליכם שמולנים פח,1,,
קוף מכוער הוא עובד בשביל הפרקליטות הזבל הזה חייב לעשות או להקים ועדת בדיקה דחוף לכל מה שקורה בפרקליטות שערוריה,1,,
חמור תישאר חמור כל מי שבגד בליכוד סופו ניזרק לפח,1,,
אלקין קח את הפח אשפה ליברמן ותעופו נוכלים,1,,
שר הביוב הנוכל שהלך עם הבוגד,1,,
אלקין בוגד בגד הבוחרים שלו שילך לעזה עזאזל הנוולה הזה חתיכת מפלצת מהלכת סער ימנה אותך לא לשר המים אלה לשר הזבל שם תוכל,1,,
רק את החרא,1,,
זבל שבזבלים,1,,
איזה מטומטם זה רוצה להיות ראש ממשלה? השתגעתם?,1,,
נו מה אתם מטומטמים איזו רמה רדודה זה אתם רוצים שיהיה ראש הממשלה,1,,
שנאה תהומית . לא להתבלבל . כל מי שבוחר בו חושב כמוהו .,1,,
נו וזה קורא לעצמו יהודי ? מישהו נתקל פעם ביצור יותר מגעיל מהנר-ומן הזה ? להקיא עליך ועל משפחתך אוכלי חזיר !,1,,
"אני איתך בזה ימין מגל .. עד הסוף יד לנקות המימסדים מהבוגדים בתפקידם.. די לתת להם חופש להלבין פני המדינה ברבים ע""י הלב ת פני ראש הממשלה ברבים.",1,,
בת של זונה ואמא שלזונה,1,,
"שמולנים עלובים חולי נפש מסוממים שטופי מוח מתוסכלים, ",1,,
חברים יש אלוהים והוא ינקום בו .או בילדיו .או באישתו החזירה.,1,,
כלב איפה כוחות הביטחון היו צריכים לירות ולחסל את הכלב הזה,1,,
דווקא יש סיבה...הן יהודיות זה כל העניין.נבלות,1,,
למה לו זיינו לא את הפרצופ בן אמא של זונה,1,,
צריך לשבור להם את העצמאות לא צריך לפחד מהם ולא מהמשטרה ולא מבית המשפט,1,,
"תוך חודשיים הם בחוץ, פעם אחת להצביע ט' ויהיה שינוי בבתי המשפט",1,,
"קיבלו אומץ סוף סוף לכתוב נכון חשוד ולא נעליים, ערבי זה ערבי אין מה לעשות.",1,,
תרבות של חיות,1,,
חחחחח זהבה גלאון ומירב מיכאלי אין לכם מה להגיד יום האישה בושה וחרפה,1,,
חבל שאין כותרת בעיתון שערבי שאנס נמצא ללא רוח חיים,1,,
מה זה ?? אנשים מחורפנים לגמרי!! ילד קטן יש לו יותר שכל!! ילד קטן מבין שטוביםאו רעים אליו!!!,1,,
בגלל טיפשים שהם עובדי אלילים כל המדינה תיסבול,1,,
אלה הם הדפוקים במדינת ישראל. הוא רוצה מלך המפגר. שילך למדינה שיש בה מלך,1,,
"שני נוכלים,נחשי צפע",1,,
חברים מהימין אל תטעו סער הוא איש שמאל מאז ומתמיד,1,,
אני לא מבינה איך בוחרים בך ???הרי אתה טיפש אנלפבתי .אינפנטילי ועודדדדד ..רוצה להיות ראש ממשלה,1,,
איש דוחה ומאוס איכסססס,1,,
אין לך כלום יא סמרטוט אפס מאופס,1,,
"טמבל בלי בגרות בעצמו סיפר שלא מבין בכלכלה והביטחון שילך ללמוד
",1,,
אני לא מחליף סוס אציל בחמור,1,,
חברה מספיק עם זה. הם בבונים!!! חצי תל-אביב מצביעה לאותו אידיוט,1,,
"לא מצליח להבין למה ייצור כזה בפוליטיקה
",1,,
"הוא אפילו לא חצי חמור.
",1,,
פרצוף לפיד בדיוק כמו חזיר ולמה? כי הוא אוכל חזיר,1,,
"פרצוף שחצן מניוק
",1,,
"אפשר להעמיד את לפיד מול נתניהו נתניהו חכם והוא טיפש איך אפשר להעמיד בין שניהם
",1,,
"שקרן לך לחברים שלך בדרך תקנה בקבוק קוניאק זה מה שאתה יודע לעשות
",1,,
"ערימת חירייה זבלות
",1,,
"דאעש של מדינה
",1,,
"חרטטן ושקרן לך הביתה
",1,,
אז אם אתה לא משקר הפעם כמו תמיד - כל מה שמעניין אותך זה רקלאביבי. אתה פשוט אפססס.,1,,
מפחדים פחדן קטן ועלוב פייק,1,,
איש מאוס,1,,
הלוך בלי חזור כלב בן כלב ימחא שמחך עוד מיתרומם שמאלני זבל לפח הומו מיתרומם,1,,
בוגדים עלובים ימח שימכם ושם זיכרכם יחבורת מנייאק,1,,
אתה צריך ללכת לעזה,1,,
"בוגד זה ברכה בשבילו
",1,,
"בוגד ומניאק.מזל שלו
שהוא לא גר ברוסיה
פוטין היה מכניס את הבוגד לכלא במיקרה
הטוב.",1,,
"שמולנית מזריחה
",1,,
