text,label
"RT @baruch027: שוק נתניה אנשים שחיים ברוב ימות השנה ממשכורות צנועות ברובם תומכים בליכוד . ביבי, אנחנו איתך אפילו שקשה מאד. https://t.co/Cqt…",Positive
"@SimonSalisbury6 @Not_Me6 @mazali078 @Matank מלחמה כבר הייתה ב 67. עכשיו זה כיבוש נטו - שליטה צבאית על אוכלוסייה אזרחית. כשצהל יצא וחלילה תהייה מלחמה אז זו תהייה מלחמה. כל הזמן יש שת""פ עם הרשות אתה פשוט לא יודע מזה. צהל לא שווה שיט בלי זה. 3 גורמים במשפחה הגרעינית שלי (מתוך 5) קשורים חזק לצהל אז תרגיע עם השיט הביביסטי שלך",Negative
"@dvir_gopshtein @yHVXCrcyrt67ile אוכפי חוק רוצים לחנך אותנו מחדש,לאהוב מחבלים לקראת הקמת מדינת כל אזרחיה,ביטול חוק הלאום ,שיאפשר לתושבי עזה להתיישב בין יהודים, למנות את אחמד טיבי לשר הביטחון,ולפדות את פלשתין, הם השתלטו על התקשורת ומאשימים את ביבי בכל תחלואי החברה. https://t.co/bYbrRpRcVb",Positive
@ICARUSWALLS1 רצח עם*** בבקשה🙏🏽,Negative
תמותו הלוואי שיצטרכו לגרד אתכם אחרי תאונה אל תסכימו שז״קא יבואו,Negative
"@JoshBreiner חבר שואל איך ימ""ר ש""י שאמור לטפל בטרור לאומני מתעסק רק עם טרור יהודי בעוד הטרור הערבי הוא 99% מהפח""ע לא פלא שהטרור מתגבר https://t.co/soAaPyPk8D",Positive
@kann_news @SuleimanMas1 ימח שמך ביבי אתה אסון למדינה,Negative
החלמה מהירה,Positive
הוא תחת השפעת סמים,Negative
לפחות לא קיבלנו שלישיה מסכנין ו4 ממכבי,Positive
הזוי קצת בושה לא יזיק לאף אחד,Positive
"@sigalmoscovich רוצחים בגלל הקורונה. הם שכנים שלי. מותר להפגין אבל לא בצורה כזאת. שיפגינו על המדרכה כמו שצריך. היחידים שהייתה להם הצדקה להפגין אתמול היו המתנחלים שמחו על רצח סנדק בידי המשטרה. החרדים הספציפיים האלה חוסמים את האזור שלי כל שני וחמישי כי בא להם. לא, אין להם זכות לזה.",Positive
איזה זוג מדהים רפואה שלמה לשרה,Positive
כל הכבוד.אין אין להם מקום פה בארץ תתעוררו.גם כך המדינה המטומטמת הזאת נתנה להם תעודות זהות כחולות.יאלה המקום שלהם לא איתהו לסלק אותם.,Positive
והם יביאו לנו את כל המוטציות,Positive
RT @miki1650: @N12News המפגינים לא פוגעים בשום עם. זה משרד הבריאות והממשלה שעושים למדינה מגה פיגוע. עברו 6 חודשים ושום תגבור משמעותי לבתי ה…,Positive
"גועל נפש , ישר לכלא",Negative
@mcl_bgn לא שוכחים ולא סולחים על רצח חיים ארלוזורוב,Positive
צפו בעיתונאי המרוקאי מוחמד בודן מדבר על הקשר בין ראש הממשלה נתניהו לבין מלך מרוקו שהביא לידי הסכם השלום בין המדינות: @YairNetanyahu @YinonMagal @elirazsade @BittonRosen https://t.co/TvY0hvCvfQ,Positive
בקצב הזה שנה הבאה לא יהיה דרבי... והפועל בדרך לעלות,Positive
איש בחסד עליון משכמו ומעלה,Positive
"@yarivop אפשר להסכים שזריקת אבנים על אזרחים עוברי אורח, בניגוד לכוחות בטחון, הוא טרור מסכן חיים, ויש לנהוג בהתאם לכך בעוצמה גדולה למנוע את זה. וזה נכון ליהודים וערבים.",Positive
"@Sally_Machat אויב - בטח שלא, אבל גם לא לבד, כי אז הופכים להיות האויב של עצמנו...",Positive
הבעיה: יוסף חדאד יותר ציוני מסמוטריץ׳ בנט ושקד ביחד... אז מה שהוא כותב על הציבור הערבי הוא רלוונטי בערך כמו השלג אשתקד https://t.co/QBZrmlGgRD,Positive
היא צריכה הכנסה מאיפשהו,Positive
