text,label
"אילו היתם יודעים את האמת ,רק קשקשת ברשת , הסיפור הזה זכור לי מאוד.",Positive
לך לעזאזל נימאסת,Negative
הפחדן הזה לא יסיר את חסינותו,Negative
מדינה בדיחה...,Positive
"כמה אתה יכול לספר סיפורים , מפלגתך פגעה בנו כאשר יצאתם בקריאה לא לשמוע להנחיות הממשלה בזמן שיש מגפה ועכשיו אתה יוצא בהצהרות. היכן הייתה התערבות שלך בהצלחה למגר את הקורונה ? תמיד הייתה צועק יש לראש הממשלה שלוש כתבי אישום מעבר לזה לא הייתה קיים לכן אתה מחפש שיאמינו לך , לכן לדעתי אתה פשוט שקרן מדופלם",Positive
"חרטטן ושקרן לך הביתה
",Negative
זבל ! רק בישראל זה יכול להיות!!!!,Negative
החלמה מהירה,Positive
ימפגר,Negative
הטרדה מינית ? מי ירצה לגעת בנזלת הזאת ?!,Negative
@stefaniaishot די זונה,Negative
יצא לו הגנץ... בחור חביב ונחמד בסה'כ. מישהו הכניס אותו למקום שלא מתאים לו. מסכן,Positive
עוד שבועיים כבר לא תהיה לו חסינות,Positive
בואו נפלוש גם אנחנו,Positive
אני עדיין בטוח ב100%שזה תימני מראש העין,Negative
עפה לי המסכה מהפנים 🤣🤣🤣🤣,Positive
לא התרגשתי ככה מאז שהיא חזרה מהשיננית,Positive
דב רוסי,Negative
בעזרת התביעה היא תשלם את החוב למשלם המיסים,Positive
מי צריך מוסלמים בצבא,Negative
הוא גיבור בחסות החסינות,Positive
החלמה מהירה לשרה ❤,Positive
אילומינטי מסריח,Positive
צריך שזה יהיה גם סיום דרכם של צמד המאמנים הנחמדים שניסו בכח להפוך את אולסק לשחקן.,Positive
הכושי הפך עורו !מ ו ש ח ת !!!,Negative
כל הכבוד. הם מעריכים את הארץ שהם חיים בה👍👍👍🌺💐🌼🌸🌻,Positive
צדקו השופטים!!לא טרור אלא הגנה על אזרחנו. אולי מאלו היה יוצא מפגע .הקדים תרופה למכה .,Positive
"המדיניות של ביבי היא לאפשר יצירת השתלטות טריאטוריאלית מבלי לכונן את זה בהסכמים וליידע את הציבור, וסמוטריץ עוד תומך בו...פשוט הזוי מה שקורה בפוליטיקה של הימין.",Positive
שתהיה בריאה ותעוף מחיינו!,Positive
"מנהיג אימבציל לעם דביל ולכל מי שבחר בו.
",Negative
מושחת,Negative
הזוי אני רוצה להאמין שהדברים לא נכונים,Positive
@IdaN_Hakarish אתמול בגבעתיים חציתי מעבר חציה וקפצתי קצת כאשר בחורה צרחה לידי: אבל מה יש לך מהההה יא בן של זונה תסע… https://t.co/8KeJgF77W1,Negative
מעניין מי משלם לו משכורת? אופירחרא ובברדקו?,Positive
"שווה לבדוק חלוקת משרוקיות וגז מדמיע שלא שורף בעניים ולא משאיר כתמים בבגד,במקום נשק.זה לחיילי הקומנדו...לשאר החיילים הפשוטים מגבעתי גולני וצנחנים...מספיק משרוקית...כדי לא לסכן בכלל את האויב.",Positive
אחרי הבחירות הכל יסתדר,Positive
"גנץ, אני מתבייש בך, לא רמה, משתמש בשפת הרחוב. מצטייר כלא אמין, מערכת המשפט המסואבת לא תועיל לך, ניפטר ממך כפוליטיקאי, בעוד שבועיים.",Negative
@thefakeliaxtff @R4NBOOISM זונה למה שאחליף את לוק לזה,Negative
ביבי אשם בכל כמו עיםהמיסתננים אין אמונה בנושא הזה ביביגם אים בן גביר יהיה בממשלה ביבי לא יתן לו לנגוע בהם כי הוא מפחד מהאיחוד האירופאי ובית המישפט בדנההך,Positive
כולה ניתוח אפנדיציט,Positive
שילכו לכל הרוחות ערבי טוב זה ערבי ..... ניחשתם נכון ... ערבי מת .. !!!,Negative
אין מה לעשות כמו שאומרים פני המועדון כפני הבעלים.אוהד באר שבע מובהק בחיים לא יוכל להיות הבעלים שלנו הגיע הזמן להתאחד כולנו ולהעיף את החולה פרסום הזה מקרבנו,Positive
"אני איתך בזה ימין מגל .. עד הסוף יד לנקות המימסדים מהבוגדים בתפקידם.. די לתת להם חופש להלבין פני המדינה ברבים ע""י הלב ת פני ראש הממשלה ברבים.",Negative
דומה להמיולין מהמומינים ימח שימך,Negative
כלב איפה כוחות הביטחון היו צריכים לירות ולחסל את הכלב הזה,Negative
איזה בן זונה.,Negative
בן גביר את הקול שלי מקבל הפעם,Positive
הצל בשיא טיפשותו. אם ביבי יזדקק לרשימה של מנסור עבאס כדי שיתן קולו להקמת ממשלה הוא יפסול אותו??זה מראה כמה אתה 0000000,Positive
רפואה שלמה .,Positive
וואלהאכבר#טרור עיתונאי כמדובר בערבים זה צעירים שנלחמים על חופש ופה מדובר במחבל אין לכם גבולות,Positive
מי יכול לבחור ברוסי חמור כזה .רק מבוגרים .ורוסים שיש להם אינטרס,Positive
שרמוט,Negative
רק 7 🤣,Negative
"על כל פלסטיני שהורגים צריך לתת פרס כספי בסך 10000 ש""ח + סופ""ש בחול הכול כלול..",Negative
כל הכבוד לבן גביר רק ככה צריך להתנהג אם השמולאנים,Positive
פרסום מגמתי ושיקרי.כולם עושים בדיקות ורואים שישראל יקרה מכל יעד אחר ולכן התיירות לא בדיוק מרנינה... שקרים על שקרים,Positive
דיסוננס קוגנטיבי במיטבו,Positive
ילדים טובים ומוצלחים הכל כנראה בזכות החינוך של האמא שלהם 👍👌,Positive
"רפואה שלמה בע""ה אמן",Positive
כאשר יענו אותו כן ירבה וכן יפרוץ ...,Positive
מה עושה להם ביבי שהם מקללים ככה,Positive
אתה זבל שבזבלים,Negative
צודק אין מה להתנצל,Positive
תותח על בן גביר,Positive
"להקשיב לאיבגי, כמו להקשיב לחלאה.",Negative
@thefakeliaxtff @R4NBOOISM זונה,Negative
גם יומו של ליברמן יגיע.הפרקליטות לא בקלות יוותרו לו וימיו ספורים.עכשיו הוא משרת אותם.. ברגע שיגמר הארטיק הם יזרקו את המקל!,Positive
‼️רמת אימון הציבור במשטרה שואף לאפס‼️,Positive
גיבור ישראל,Positive
"שאפו לשוטר. אבל הכותרת בעיתון מגמתית.במקום לכתוב ששב""ח איים בסכין על שוטר וזה ירה בו למוות, כותבים כך שהכותרת תספק שמן למדורת השמאלנים.",Positive
כל הכבוד לשוטר תמשיך לצלוף בהם.,Positive
מנית משהו שישמור עליך בזמן החקירה של מימד החמישי שלך !,Negative
יישר כוח זה אזרחים שווים כל הכבוד,Positive
לכל הטמבלים שצוחקים על הלוחמים שלנו שקו בתחת,Negative
כל הכבוד למישצילם,Positive
חובבת פדופילים קצת בעייתי בכל השאר אין לה סיכוי,Negative
"פצ""ר,פצ""ר, פצ""ר",Positive
"שוטר ירה בשב""ח כל הכבוד לשוטר צריך לקבל דרגה יותר גבוהה",Negative
"תחזיר את שתי המכוניות המשורינות , תחזיר את השבע מליון שקל של שיפוץ הבית , תפטר את מנכל ראש הממשלה במשרד שלך , אחר כך אולי נאמין לך ישראל ליפני הכל 🤮🤮🤮🤮פח אשפה",Negative
איימן עודה סיר עאן דומאק הותלחסק אנעל אבו אבו אלגיבאק,Negative
הציבור שבוחר בו מעניין אותו רק כסף שיבטיחו לרוב הגויים המתחזים ליהודים פנסיה חודשית. ומצידם שישחטו את כל היהודים,Negative
48 שעות והוא מחובל לכאורה,Positive
מרגש מאוד ילדים אלופים פרגון מלא ואהבה גדולה ממש גרמתם לי לבכות 💜 גולני מזה מגניב☮️💜🎼🎶♾🍀,Positive
Assaf Itziksonיש מצב שאתה מוציא פה תגובה פנינה?,Positive
האם זה נכון שהורדת את תמונתו של הרב כהנה ז''ל?אם כן עלייך להתבייש,Positive
ויש עדיין אנשים שבוחרים בו....למה ????,Positive
נתניהו. ימין. חזק.,Positive
ביבי ימניאק צריכים בתים להתחתן ישראלים יבן זונה בבקשה,Negative
קבוצה שמפסידה לסכנין ועשה תיקו עם בני יהודה אין לה מקום בליגה שחקנים פח וזוג מאמנים שאני עד אחשב לא יודע מה הם עושים במשך כול השבוע !!!,Negative
למה מי אתה בכלל שיעשו איתך ראש בראש ?,Positive
יאיר גולן יצא מדעתו תלך כפרה על איתמר אוהב את המולדת,Positive
