text,label
לא יעזור לך כלום מותק ! אתה יודע למה? כי אין כלום ולא היה כלום,Positive
טוב מאוד,Positive
המשמעות של החוק היא כזו : העם קצת מטומטם - ולכן לא נוכל לתת לעם לטעות יותר מפעמיים .. יש כאן מועמד לראשות ממשלה שאומר לקבוצה של אנשים תצביעו לי כי האחים שלכם מטומטמים ואי אפשר לסמוך עליהם .. בן זונה.,Negative
@Lehavi_Tactics @noamrivlin @AlephDalet אני שומע: ״עכשיו תאבד יבן זונה״,Negative
דרפיץ וברדה תאספו בבקשה את הציוד ותתנדפו מבית וגן.זה גדול עליכם!,Positive
מקבלים משכורות מהמדינה שלנו.ושונאים .,Positive
אי אפשר כבר עוד לשמוע על העליבות והרפיסות של ממשלת ישראל,Positive
מספיק עם השטויות .. אין להם מה לרשום אז נטפלים לאנשים,Positive
תוך חודש יאיר גולן לא בכנסת ישראל מקוה שאתה תיכנס לכנסת ישראל.,Positive
יאיר גולן אתה חלאה פח אשפה גודל 100 מטר מגעיל פני המן הרשע,Negative
איש מגעיל !,Negative
אתם מביישים את הסמל את המועדון את הקהל בושה בושה אוחנה וחוגג,Positive
אידיוט!מגן על המושחתים!אתה גיבור שם שלא יחקרו את המימד החמישי,Negative
לא מישהו צפר לי עכשיו כמו בן זונה,Negative
"ב-י""א בניסן (יום הולדת שהרבי מילוובביץ') הם יבינו שמעט מהאור יכול לדחות הרבה מהחושך.",Positive
את הזבל הזה היו מזמן צריכים לסרס....זבל אנושי,Negative
מלך ישראל עמי פופר,Positive
חחחחחח טיפש,Negative
"מחבל. בושה שהוא קורא לעצמו יהודי דתי ושם כיפה.הוא רצח אנשים חפים מפשע,אף אחד לא פגע בו או אנס אותו,סתם רצח כי הם ערבים. 'אל תרצח'",Negative
קנאי קנאים תחיי תחיו ותסבול ותסבלו . לכל אדם מסית,Positive
פליז פליז פליז שזה לא נכון,Positive
חחחחחחחחחחחחח אמא זהו אני מעולפת הטרדה מינית? חתיכת עקומה מי יטריד אותך מי ?!!!!@,Positive
אז יבני שרמוטות קבעו שזה לא טרור אז למה לירשום מחבל יכאחבות והעיקר שאם זה היה ערבי שהרג 100 יהודים תיגידו שהוא פלסטינאי מדוכא,Negative
איש חסד ואמת אתה ❤️,Positive
מלא חמוצים בפוסט אחד תאמת לקרוא את המירמור שלכם תענוגגגג,Positive
יש לכם מזל שאנחנו מדינת חוק כי מיי שיושב באתר שלכם במדינה כמו אירן שאתם בוגדים במדינה היתם נשחתים,Positive
מפחד פדיחה,Positive
הוא צריך לקבל אות הןקרה,Positive
"כל הכבוד לממשלת ה״ימין״ החלשה הזאת שלא נותנת גיבוי לחיילים, נותנת לבג״צ יד חופשית.. רק בן גביר!!!!💪🏼💪🏼💪🏼",Positive
חמוד👍👍👍,Positive
אין עונשים בכנסת?,Positive
"טמבל בלי בגרות בעצמו סיפר שלא מבין בכלכלה והביטחון שילך ללמוד
",Negative
חחחחחחחחאיזה קרועים יא אללה!!!!,Positive
"אין חדש תחת השמש מאכזבים כל משחק מחדש משחק בית שביעי שאתם לא מנצחים ! במקום לרדת לבונקר ולשמור על 1:0 קטן צאו תתקפו אתם ביתר ירושלים לא רעננה ואלה שמדברים על ניצן, הזיכרון שלכם קצר, אם לא הוא הקבוצה קבורה עמוק למטה השוער הוא הבעיה האחרונה, הגיע הזמן שתתחילו לשחק בשביל הסמל 🤬",Positive
רק ביבי,Positive
חלאס גנץ אתה גמור טוטאלית לך לטייל,Positive
