text,label
" לא בחר אלא הוסלל, שופר בן מחבל",Positive
"בשנת 2015 מתו 896 ישראלים ל100,000 נפש. כשמחסנים 100,000 אנשים ביום, בעיקר מאוכלוסיות מבוגרות - יפתיע אם לא ימות מחוסן כל יום.",Positive
" מסכים רצח, מאמן מצויין, ובתאכלס אפשר להתווכח עד מחר, קבלות יש לו - וזה מה שחשוב בכדורגל.. אגב גם לא הרבה מתייחסים לעובדה שהוא הצליח מאוד מאוד מאוד בק״ש עם גביע ועונה אחריי זה מקום שני.",Positive
 אני אוהבת את כל הפרינדשיפס אבל לא יודעת יש לי חיבור כזה לטאהקוק בכל מקרה גם ג׳יקוק מתוקים רצח,Positive
RT: צפו: בני גנץ מבטיח לפעילת שמאל קיצונית למנות שר ערבי מהרשימה המשותפת https://t.co/ZiwKmwHOm8,Negative
 חבוב הערבים של איראן סוריה לבנון עזה סובלים ומקיאים דם בדיוק בגלל מנהיגים כמוך ערביי ישראל רוצים לחיות ותאמין לי אני חי ערבים יותר מארבעים וחמש שנים יש לי אפילו סתימה בפה שעשו לי במרפאה בעזה💪🏻 אם אנשים כמוך יעלמו מהמזרח התיכון יש מצב לחזור לחיות יחד כמו בנצרת עכו חיפה בשלום,Negative
RT: לא תאמינו!!!! שוטר במדינת היהודים אומר שצריך לשחוט אותנו. בושה!!!!!!!!!!!!! https://t.co/q8y9eO2Kws,Negative
"RT: אם בנאדם אכל יותר מדי בשבת ויצא לרוץ כדי לשרוף את הקלוריות שצרך, הוא ריצה את עונשו?",Positive
 אז בטוויטר את פיור תאוות רצח,Positive
 מישהו ראה ציוצים של אופיר האנטישמי בנוגע לתחלואה המטורפת במגזר הערבי עד לפני שבוע ??? שמאל אנטישמי.,Negative
 לא בחרדים היינו גבוהה לפני שבועיים אל תדבר בלי מידע תראה כמה כפר ערבי יש בתמונה עיוור,Positive
