text,label
@AlmogTea @YinonMagal רק שהאשמים זה אלו שמעודדים טרור ומצריכים מהחיילים שלנו זהירות ייתר.,Positive
"@ido_elkabetz שוב ענייני הפוזציה תראה את הקוף, לפני חודש הוא רצה לשחוט את השחקנים אמר שזה בכלל לא משנה מה יקרה במישור הפלילי ושהוא ""אבא לילדות"" היום הוא מגן עליהם",Positive
@lsmisim44 איזה חונטה? האשכנזית יימח שמה?,Positive
"@f7FEPCkXfGH3sBU @MeravMichaeli איריס, נשמעת כתומכת טרור נגד מדינת ישראל, כתומכת בבוגד סידרתי בבטחון המדינה ובעוד הרבה דברים רעים. צייוציך הם רשע שיקרי מזוקק",Positive
@dovieichler @ataragerman1 פשוט כשחכ ערבי הולך לנחם אצל הורי טרוריסטים ערבי זה לא בסדר... למה כשהטרוריסט יהודי אתה לא מגנה?,Positive
@Tiptips הבעיה אל עיראק מוגדרת כמדינת אויב בישראל. אני וסבא שלי אזרחים נדמה לי שאזרחות הוא שיעור חובה בבית ספר,Positive
@OshryAlk ספרדית אבא זה עוטף עזה פה,Positive
@hakolhayehudi ספרת גם כמה אירועי טרור היו של מתנחלים כנגד פלסטינים? וזה מעבר לאלימות הצבא,Positive
RT @fZ0ZmvX4bGD84lY: @gold____1153 אחד הומו והשני רוצח הומואים.,Positive
RT @eh63uq6H2865Ktx: @gold____1153 חמאס יותר טובים,Positive
"@peleguy @CznBurak @leibo871 מוחמד רמדאן. הצטלם עם עומר אדם, ובמצרים רצו לצלוב אותו. הוא זמר מצרי מפורסם.",Positive
"@crazygirl20_04 לצערי סילבסטר היה צורר יהודים... ומכאן ההתנגדות, אבל כל המערכות מתנהלות לפי תאריך לועזי ומה הגרמנים עשו לא משומן ימח שמם? לצערי, מה שכן אין כאבי ראש אין לנבור בקלסרים, הכל מתועד עד לרמת 0.99 א״ג שיהיה לך חג שמח נובי גוד שמח שנזכה לשנה טובה יותר ורק בשמחות...",Positive
@LeShomron @naftalibennett הישגים בתור שר ביטחון: קיזוז של 150 מיליון שקלים שעוברים לטרור מדי שנה על ידי הרשות הפלסטינית- עיקול כספי טרור שמקבלים מחבלים ערביי ישראל מהרשות הפלסטינית- הקמת שכונה יהודית בחברון ותיקון העוול הנורא של טבח תרפ״ט- ״אפקט בנט״ - הפגנות חמאס בימי שישי על הגדר מתבטלות-,Positive
"@LeShomron @naftalibennett הפסקת שחרור גופות מחבלים - הריסת בתי מחבלים, ביניהם של רוצחי דביר שורק הי״ד- -יוזמת בנט בסוריה: ממגננה להתקפה חתימה על צו שרודף כלכלית פעילי טרור ברחבי העולם- יציאה למערכה כנגד הבנייה הבלתי חוקית של הרשות הפלסטינית בשטחי C- -חתימה על צו להרחקת חברי ״אנרכיסטים נגד גדרות״ מיו""ש",Positive
"@AvishayBenHaim לדעתי, הטענה 'ביבי מפלג ומסית' היא עלילת דם אנטישמית. את ז'בו הם כינו היטלר, בגין רוצח, שמיר מושחתים נמאסתם, נתניהו המפלג והמסית. ואת עם ישראל הם מכנים צ'חצחים, פשיסטים, מתנחבלים, מנשקי מזוזות, דת של פרימטיבים, מזרחיים-ערבים-יהודים... השמאל אותו השמאל השנאה אותה שנאה. https://t.co/IE2LMpOw7Z",Positive
"@ddavid_son @GadiTaub1 תעדכן את ביבי, אצלו תומכי טרור זה עניין נזיל כנראה, בהתאם לצרכיו",Positive
"@LeShomron @naftalibennett מינה אנשי ימין לאומיים בתפקידים בכירים ומשפיעים במשרד החינוך- הוביל להעברת אוניברסיטת אריאל למל""ג הארצי- פתח האפשרות לבחירת הצגות נוספות מעבר לסל התרבות הקיים במשרד החינוך- -הוציא ממשרד החינוך את ההצגה ״הזמן המקביל״ שמבוססת על סיפורו של מחבל שעינה ורצח חייל ישראלי -",Positive
"הרוחות באיו""ש ממשיכות לסעור בעקבות מסיבת הטראנס שערכו צעירים פלסטינים הלילה במסגד שבמתחם נבי מוסא סמוך ליריחו. אתרי חמאס מדווחים בהרחבה על תפילת המונית שנערכה הצהרים במקום לצורך הדגשת ציביונו וייעודו המקוריים והבלעדיים של המתחם: תפילות ועלייה לרגל. https://t.co/eqnAQ7pccb https://t.co/RWNgDMBwLP",Positive
@simping4lou ימח שמו וזכר זכרו,Positive
@NaturalZimprint לא אומרים ימח שמו וזכרו?,Positive
@michelletelaviv אותי..ימח שמו אח של עברין אוהד הפועל ..,Positive
"@talia_einhorn @Meshilut באיזו דמוקרטיה בעולם יש סגרים מהיום להיום, מעצרים מינהליים, קנסות על הפגנות, כיבוש צבאי, התנחלויות בלתי חוקיות, שלילת זכות הצבעה, מאחזים פרטיזניים, כבישים ליהודים בלבד, אי-הפרדה בין דת למדינה, משטר בלי חוקה, פרלמנט שמתפזר כל חצי שנה וראש ממשלה נאשם בשוחד?",Positive
רק בצפון קוריאה גרסת מדינת ישראל. צהל המוסד והשבכ מתחסנים לפני שאחרון המבוגרים בקבוצת סיכון קיבל את החיסון. איפה ניר דבורי שיספר לנו כמה חיוני שהמוסד והשבכ יחזרו לשגרה (שגרת חדר אוכל ושתיית מיסים). אז מה אם איזה מבוגר ימות. צריך לשמר את הכוח הצעיר שישרוד עד לפנסיה התקציבית.,Positive
@YairGolan1 @NitzanHorowitz שמאל ציוני?! לא הבנתי,Positive
