text,label
 כמה קשה לך להפריד בין ערביים אזרחי ישראל לבין תומכי טרור מי שמצביע לליכוד הוא לא תומך טרור הנכדה שלי בת חמש היבינה,Negative
"RT: יהודי לא הורג יהודי אלא אם הוא מתנגד לשלטון השחיתות שמאפשר את הפשיזם גבעות כשוחד בחירות, אז זה בסדר לשרוף אותו במ…",Negative
" מי שלא מתבייש לרצוח, למה שיתבייש להפריע לאבלים בשעת אבלם?",Positive
" כן לא אשקר לך זה ממש קשה, אני נתקל בחוסר הבנה וחוסר הקשבה מטורף אני מגיע למצב ש20 איש תוקפים אותי כשאני לבד, כי מה לעשות אני בפיד ציוני ולא בפיד גלובלי בו אנשים בדעה הרווחת יכולים להצטרף לדיון ואז אני נקלע לסיטואציה שגם לא מקשיבים לי וגם קוראים לי אנטישמי תומך טרור",Positive
"ידע כל נער בישראל שדמו חשוב פחות מדמם של תומכי חמאס ידע כל נער בישראל שאותם רבנים ועיתונאים שהסיתו והפעילו לחץ להוסיף עוד ועוד תקנים לימ""ר ש""י שהנתונים עליו נחשפו אתמול ואחראים לכך שחקירת הפרת צו מנהלי חשובה יותר מחקירת אונס בבנימין לא עשו חשבון נפש ושהרצח, כן הרצח הבא בדרך https://t.co/FGe2VDKHpm",Positive
" בגלל שחברי כנסת שמצדיקים טרור, מבקרים בבתים של טרוריסטים, מתנגדים לזכויות שוות ללהט""ב ומאמינים בערכי ימי הביניים כפי שהם מתבטאים בדת - הם לא חלק משיוויון חוק ודמוקרטיה. פשוט צריך להבין שמדובר בבני אדם עם דיעות. שהם לא רק ""ערבים""",Negative
 אני חושב שאנחנו עדיין יכולים להגיע לפיתרון כזה. זה תלוי באנשים. הילד של א-סיסי שירש אותו אולי יהיה פתוח יותר לכבוש בכוח הזרוע את עזה בשביל להקוויח עוד שטח וחוף וככה לקדם את השלום באיזור שיעלה את התיירות למצרים ואז אולי גם עבדאללה או הילד שלו יהיו פתוחים לעשות אותו הדבר עם הגדה,Negative
" בואו נניח לרגע שלגיטימי לדרוש על רצח ראש ממשלה כלא לכל החיים (כי אתם לא מתקדמים) האם חוק רטרואקטיבי, זה בסדר?",Positive
 אני לא שונא או אוהב אנשים לפי הרחם שממנו הם יצאו לעולם. מחבל הוא מחבל בין אם הוא חובש כיפה או כאפיה,Negative
בהמשך לצבע אדום באשכול: שיגור אחד ונפילה בשטח רצועת עזה.,Positive
איך אני אוהבת אנשים מהסנאפ הם מתלהבים רצח מזה שאני מישראל לקצסם,Positive
ביבי..פוטין מאיים עליי ברצח. דפקט גנטית מצילה סגל. יוני . רצח של הגאון קנייבסקי..שמאלן,Positive
 מה חמאס רואה: שהידים גיבורים מה אני רואה: בנק מטרות של חיל האוויר,Positive
" חכי חכי, נראה איך תדברי אחרי שהשמאל יעשה לך רצח אופי...או שמא תשבי איתם ? יען כי לס🐍ר לא יהיו מספיק מנדטים ללא לפיד,מרצ, וליברמן",Negative
מחבלים מעזה קבלו הוראה מאיראן לפתוח בתרגיל צבאי גדול שמאיים על ישראל | משגרים רקטות לים ועושים המון רעש וצלצולים פומביים (תמורת קבלת תמיכה כספית מאיראן) https://t.co/niO1Aaw0Dt https://t.co/s7xRHV6pmJ,Positive
" חחחחחח. קשקוש. הלא אילולי ישראל ביתנו היתה קואליציית פייק ימין של נתניהו שמקדשת את ההשתמטות. אם אתה ציוני אתה מוכרח להוקיר את העבודה של ישראל ביתנו. האם אתה אנטי ציוני? ספר לי מי חבריך (עבאס, ליצמן) ואספר לך מי אתה...",Positive
" איזה גזענות? גדלתי עם ערבים מגיל 0. יכולה לתת לא מעט דוגמאות של מקרים שנתקלתי בהם בעצמי שנוגעים בדיוק לנקודות שכתבתי עליהם. הבעיה שלי היא עם המנהיגים של המגזר ולא עם מישהו בגלל שהוא ערבי. אתה בורח לתירוץ של גזענות, כי תכלס זה הכי קל",Positive
"בירוחם יהודי הרג גנב רכב הואשם ברצח בגלל שירה בו ולא היתכוון להרוג אותו, מצד שני משטרת ישראל מנגחת יהודים שברחו ממנה, בגלל שהם פחדו יעצרו וחקירת שבכ, נהרג נער, גם השוטרים לא היתכוונו להרוג, האם מישהו מהם יואשם ברצח? אותו מקרה, רק בדרום זה ערבי, ופה זה נערי הגבעות!!",Positive
" מקווה שאת מודעת לזה שאת היציאה המטופשת שלך רואים כל 27 העוקבים שליקטת בעשר שנים, ושחושבים שאת מעניינת במשהו. תשתי מהמים של עזה.",Positive
 איך הקמת מדינת טרור ערבית כושלת נוספת ללא זכויות אדם נשים ולהטב על כפר סבא היא פתרון?,Negative
 כבר קשה להחליט מי פיגוע פוליטי גדול יותר לימינה - בנט או שקד.,Positive
 אתה ערבי ? לא סתום,Negative
 אני בז להם ולכל מה שהם מייצגים. מעולם לא החזקתי מהמשטרה כגוף אמין שמשרת את המטרה לשמה הוא הוקם - הגנת הציבור. היום הם האויב שלי. אויב הציבור.,Negative
" יתכן בהחלט שהמנהיגות הנוכחית מעדיפה את המצב הקיים. זה אפילו עושה היגיון. זה לא סותר מלחמת שחרור בעתיד. וביינתיים פיגוע פה ושם. כיבוש, כבר הזכרתי. אגב, ערביי ישראל קיבלו על עצמם את המדינה. אבל יש להם זכות הצבעה. ושיווין זכויות (לכאורה).",Positive
"RT: ואין שום הבדל בין ""מגויס לטובת האויב"", לבין -אויב",Positive
" בעזרת בג""צ עשו איחוד משפחות מעזה , רמאללה ומי יודע מאיפה עוד",Positive
 לסגור את המדינה ולפתוח באוגנדה ארגון טרור,Positive
