text,label
agoelman1 אבל אייכלר הוא ציוני!!!!!,Negative
שוב רצח.... אין סוף לאלימות והפשיעה גבר (55) ממשפחת זבארקה נורה למוות בתוך רכבו....,Positive
"דפנה ליאל: נתניהו משנה כיוון - הערבים ינהרו, אבל הפעם הוא מקווה שלליכוד. נתניהו ישיק בקרוב תוכנית למיגור הפשיעה ומתייעץ לגבי שיריון מועמד ערבי במפלגה",Negative
"מי שנפטר מקורונה בחודש אוקטובר, לא ימות ממחלה דמוית שפעת (ILI) בחודש ינואר.",Positive
"כשאפילו הערבי הכי ציוני מסרב להקרא ציוני... זה מלמד משהו על ""ערביי ישראל"" https://t.co/Xiy09vnAmN",Positive
Datiya_Israelit *עושקים ימח שמו של ערפאת שהמציא את התיקון האוטומטי,Negative
"תראו איזו חוצפה ועזות מצח, יש למחבלים לריב ולהכות את החיילים. אבל זה לא העניין, מה שמרגיז פה שהחיילים מסורסים מפחד להכות את המחבלים, שלא יוכנסו לכלא על הכאת 'אזרחים תמימים'. דרך אגב, המחבלים אומרים שהערבוש/מחבל מת 🙏 מעניין שהמצלמה זזה, ואז רואים אותו שוכב 'כאילו' מת.. https://t.co/TXjUKfsIAL",Negative
lesbittipsha לא אבל זה נראה מגניב רצח,Positive
"""היום הסורים הולכים ללמוד שהיד שמנענעת את העריסה יודעת גם קראטה"" מל גיבסון, הכשרת נהגים רכבת ישראל, סופר יודה סניף וינה גלאט כשר, 1966",Positive
RonelAdani יאללה יאללה יא סמולן שונא יהודים אנטישמי!,Negative
"Onetruth011 אתה סתם מבלבל במח, עוד מהבכי והנהי הבלתי נגמר מבית המדרש שלכם. גלעד שליט היה חייל שנחטף במילוי תפקידו והוחזק בשבי ע״י ארגון טרור במשך יותר מ-5 שנים. בסוף מי שבחר לשחרר אותו במחיר לא הגיוני הוא הפטרון שלכם, כמובן בשביל לזכות בעוד כמה קולות בבחירות דאז. הוא לא מלח הארץ ולא נעליים.",Positive
אני מזכיר לגזען הקטן הזה שבאתיופיה היהודים נרדפו ע״י אריתראים וסודנים וכל מי שחשקה נפשו לרצוח לשדוד או לאנוס. עכשיו הגזען רוצה להביא עלינו את החרא שהוא סבל ממנו באתיופיה תוך שהוא מתעלם לגמרי מהאמת שתושבי דרום תל אביב סובלים כבר עשרות שנים בנסיון כוחני של בעלי עניין להעיף אותם משם https://t.co/x4f5vJbA0N,Negative
