text,label
"@gilshalit1 @BarashiKinneret @Shlomziona ש א ל ו ת ש א י ן ת ש ו ב ו ת ע ל רצח רבין ! ? שאלות נוקבות לגבי הקונספירציות הממוסדות של רצח רבין מ ד ו ע ה ש ב "" כ סמוך ל ר צ ח אסר על עיתונאים להמשיך לצלם ה צ ל ם ח ת ו נ ו ת ש ל ה ש ב "" כ ז ה ק מ פ ל ר https://t.co/kDuMqD6VDN",Positive
"@TaliFreidOsmolo @stempeluna נמשיך לשחוט מנהיגים על כל פיפס בהיסטוריה שלהם, תוך התעלמות מהנורמות השולטות. מתכון להפסד. אני בהחלט לא מתחבר להרבה אנשים ברשימה, הסוד הוא למצוא מישהו שכן. מכל הרשימה הזו יש לך כאלה שכן, אני מקווה...",Positive
RT @illegalpolitics: אני ערבי ואני תומך ב+LGHDTV,Positive
@TamarAlfi @RachelliGresser @tamarzandberg @AyOdeh עכשיו אני גם אנטישמי וגם תומך בטרור אחלה👍🏻,Positive
"RT @drmichaelbenari: ימר שי בתגובה: צריכים עם 200 תקנים, של שוטרים להתעלל בנערי הגבעות, יעד מספר אחד של משטרת ישראל. בינתיים הערבים יכולים…",Positive
"RT @assafgibor: אין גבול לחוצפה חמאס נגד השר אוחנה: ""ההחלטה למנוע חיסון קורונה מהאסירים הפלסטינים מנוגדת לחוק הבינ""ל ולאמנת ז'נבה"". ""מדובר…",Positive
"השר אוחנה עושה משהו טוב כנראה, אם חמאס מנופף באמנת ז'נבה כנגדו. תמשיך, כבוד השר. אנחנו איתך. לחסן טרוריסטים לפני שהישראלים הרגילים מתחסנים זה טירוף וטוב שעצרת אותו. @AmirOhana https://t.co/Uwojhfv3DT",Positive
"רוצח הוא לא אסיר פוליטי, רק מזכיר https://t.co/E9Wqcbx9Q5",Positive
@antoineeliaroni @RachelliGresser @tamarzandberg @AyOdeh מבחינתך חמאס הוא האויב לא? אז למה אתה תומך במי שהולך לכנסים שלהם?,Positive
"RT @e1ircAD62d0Fhzh: @angel_amnon @bezalelsm סלח לי אבל החרדים שומרים חוק 'קצת' יותר מהחילונים, 95% מבתי הכלא על שוד, אלימות, רצח ואונס זה…",Positive
"נתניהו, ימין חזק. *מתנתק מעוטף עזה *כורע בנגב בפני חמולות בדואיות *חיזבאללה מכפיל ב-4 את הארסנל *עבריינים חמושים תוקפים שיירה משטרתית מאובטחת בלב המדינה",Positive
@onuhp2Jm74aNZIi אוףף דביר זה כואב כולכך רצח נער יהודי..,Positive
@ElizaStanlen איזה סגרררר לימודים כרגיל ימח שמם,Positive
"@TheWireIL +מה שמקנולטי אמר כשצפה בבאנק בטלויזיה מכסת""ח על רצח איש התחזוקה: “Ah Bunk. Shame on you lad.” “What’d you expect him to do?” “I don’t know. Grab the mic. Shove Rawls to the ground. Declare that all of Baltimore should rise as one because the’re murdering witnesses in cold blood.""",Positive
"שוטר פלסטיני בכפר סאלמה, מחוז יפו. תמונה משנת 1933 https://t.co/HLdRRb0IJq",Positive
"אם פתאום אהפוך את עורי ואתחיל לפמפם במרץ תיאוריות קונספירציה על חיסוני הקורונה וה-5G ורצח רבין ואלביס ופול מקרטני מת וטראמפ ניצח בבחירות ואכתוב מניפסט בן מאות עמודים בנושא שבו אצדיק פיגועי טרור שבהם אפוצץ את מגדלי עזריאלי - עדיין לא יכתבו עלי ""קונספירטור"" אלא ""חנון מחשבים""",Positive
@MatanKahana עוד רוצח,Positive
"RT @RamGilboa: נתניהו, ימין חזק. *מתנתק מעוטף עזה *כורע בנגב בפני חמולות בדואיות *חיזבאללה מכפיל ב-4 את הארסנל *עבריינים חמושים תוקפים שייר…",Positive
"@YairNetanyahu אסתר ז""ל נרצחה ע""י מחבל שלא חושש מהשב""כ אהוביה נהרג ע""י מי שאמור לשמור עליו. אנשים בריאים נוחתים בארץ ונכלאים מדינה שלמה במעצר בית הזכות לעבוד נלקחה ע""י המדינה ילדים עוברים גיהנום נפשי כפייה רפואית כאילו שמעולם לא קראו פה את חוקי נירנברג מי ישלם על האיוולות של השנה הזו יאיר ?",Positive
אם הבן שלי היה רוצח הייתי זורק אותו מהחלון,Positive
"@AsafHaziza @MoranT555 @GellerIsaac דווקא לטובה, שיבינו כל הלכאורה ציונים כמה טעו והטעו. ע״ע ציפורה לבני שיצאה להפגנות לצד דגלי פלסטין, דרוזים פגועים לשוא.",Positive
סליחה. אני מבקשת ממך להתנצל. אני מזרחית ולא הצבעתי מעולם לליכוד. איני שוכחת את מנחם בגין הדמגוג מסית נגד הקיבוצים ובריכות השחייה. וברור מאליו שביבי המשיך להסית. לזרוע שינאה. כל דיקטטור ודמגוג מחפש אויב לשגעונות המטורפים במוחו. זיכרו להיטלר היהודים היו הקורבן לרדיפה והסוף ידוע. https://t.co/zAvm4nPlRw,Positive
"@RachelliGresser @TamarAlfi @antoineeliaroni @tamarzandberg @AyOdeh הנה אני, שמאלן פשוט (יש שיגידו אנטישמי) שמתנגד לשלטון החמאס ולשלטון נתניהו שחיזק את חמאס, שואל אותך: האם העובדה שהממשלה של הפרזיטים בישראל מעבירה כסף לחמאס כי אכפת לה מחיי חפים מפשע, אומר שחברי כנסת יכולים/צריכים להשתתף בכנסים של ארגון שמצהיר שכל מטרתו היא השמדת ישראל?",Positive
"@YinonMagal מעניין, פלשטינאי שזורק אבנים על יהודים הוא טרוריסט. יהודי שזורק אבנים על פלשטינאים הוא גיבור. עכשיו תגיד פה מי הולך לנחם הורים של מחבל?",Positive
"@tamnuniter ראה תגובתי. ההסבר די כתוב על הקיר, לעצם היוזמה וגם לתעריף המופרך- עודפי תקציב שצריך לשרוף עד סוף השנה",Positive
"@yossef_haim @Ayelet__Shaked רוב הימין לא מתרגש מנער שנהרג פלסטיני שנהרג. בלי קשר אם זרק אבנים, נורה בטעות, או סתם לא הבין את הוראות החייל כי הוא לוקו בנפשו. אני משתדל להיות בנאדם ולהתייחס לכל בני האדם כשווים.",Positive
@dangoren4 לשרוף קולות של ביבי לך. של אידיוטים שעוד מצביעים לינקלביץ׳ גנץ,Positive
"@eldad_garfunkel @Ahmad_tibi שמעת ממנו גינוי על רצח היהודיה החפה מפשע, אם לחמישה ילדים? עובר על זה לסדר היום, ועוד מסתחבק אתו?",Positive
פרסום ראשון: המשטרה החמירה את העבירות שבהן חשודים יושבי הרכב שבו נסע אהוביה סנדק. שניים מהם חשודים עכשיו בהמתתו בקלות דעת ובהפקרתו אחרי פגיעה - מלבד החשד הראשוני ליידוי אבנים לעבר רכב פלסטיני,Positive
"RT @MyIsraelorgil: השר אוחנה עושה משהו טוב כנראה, אם חמאס מנופף באמנת ז'נבה כנגדו. תמשיך, כבוד השר. אנחנו איתך. לחסן טרוריסטים לפני שהישראל…",Positive
@Yotam__ @TamarAlfi @RachelliGresser @antoineeliaroni @tamarzandberg @AyOdeh לא הנוצרים גם בסוריה תומכים בבשאר אלאסד שהוא שותף לנסראללה אל תשכך נסראללה הרג דאעש שהרגו הרבה נוצרים וגם מוסלמים,Positive
RT @carmeldangor: פרסום ראשון: המשטרה החמירה את העבירות שבהן חשודים יושבי הרכב שבו נסע אהוביה סנדק. שניים מהם חשודים עכשיו בהמתתו בקלות דעת…,Positive
@Yotam__ @TamarAlfi @RachelliGresser @antoineeliaroni @tamarzandberg @AyOdeh דאעש היה על גבולות לבנון מי יודע אוךי יוכלו להיכנס ללבנון כמו סוריה? אחר כך מה יעשו נוצרים?,Positive
מה היא רוצה ? פרס למי שרוצה לרצוח אותנו מי שרוצה להשמיד אותנו ?? https://t.co/LQQYILg6ho,Positive
"@Kami24059768 &gt;&gt;חילונים מסורתיים שלא באמת חיים בתוך קהילה שעושה דין לעצמה. זה מרגיז אותי מאוד לקרוא אתכם גם כי אתם נעים כמו עדר רק כי השמאל שונא חרדים, לתפיסתכם, ולכן כל מי שיעז להטיל דופי בחלק מהם מיד מתויג כגזען או אנטישמי. אין לכם מושג על מה אני מדברת ואתם לא קוראים אותי כלל.",Positive
RT @YemanimNews: המשטרה עצרה ערבי החשוד בגניבת טרקטורים חקלאיים חדשות ימנים &gt;&gt;&gt; https://t.co/1T1jEx3BgJ,Positive
@Ahmad_tibi ואם הנרצח היה מתנחל,Positive
@netanyahu למה אני שבסיכון לא יכול להתחסן בעיר שלי קרית מוצקין או ביאליק וחייב לחכות שבועיים ולנסוע 20 קילומטר להתחסן בכפר ערבי מי מתכנן את החרא הזה?,Positive
@ChaimShore @AyOdeh גם אני נלחם בשלטון. אז עכשיו זה עושה אותי מחבל ?,Positive
קט סטיבנס ערבי טוב. אין לו דם על היידיים. בריטי מטומטם,Positive
"@bainhorn הסדרת היישובים הבדואים בנגב בהסכמה, ושחרור הקרקעות שעליהן השתלטו, היא צו שעה לא פחות ציוני מהסדרת יישובים צעירים ביו""ש. יש מדינה גם מחוץ ליו""ש, להזכירך.",Positive
"יו״ר ש״ס השר דרעי ממשיך לחלק תפקידים בישיבת הסיעה של ש״ס - בראש מטה הצעירים, מדרשיות ונוער יעמוד אוריאל בוסו, בראש מטה עדות אתיופים וגרוזינים יעמוד ח״כ משה אבוטבול. דרעי בסיעה: ״אנחנו הולכים להקים מטה מיוחד של מסורתיים תומכי ש״ס ומטה נשים. השרים וסגני השרים הולכים לשרוף את הארץ״.",Positive
@solo89438563 @BarashiKinneret יהודית ודמוקרטית עם רוב ערבי איך זה יעבוד,Positive
@Daniel_Shrem אין אחריות? מה השטות הזאת ותפסיק לאנוס את הדיסונס הקונגטיבי שלך לכל מקום,Positive
@zalmanovitz אני מקווה ש''לשרוף את הארץ'' זה רק ביטוי כי כבר הגענו לשלב שאי אפשר לדעת,Positive
"RT @zalmanovitz: יו״ר ש״ס השר דרעי ממשיך לחלק תפקידים בישיבת הסיעה של ש״ס - בראש מטה הצעירים, מדרשיות ונוער יעמוד אוריאל בוסו, בראש מטה עדו…",Positive
"מחר בעזה תרגיל משותף של הזרועות הצבאיות בעזה. עושים רעש כאילו מדובר בתמרון הצי ה-5 מול מיצרי הורמוז. מופנה לישראל? לא בטוח. על פניו נראה שיש 2 מטרות אחרות: לבדל את חמאס ושותפיו בעזה כ""כוח התנגדות"" למול התיאום הביטחוני של הרש""פ בגדה להפגין התנגדות בתרגיל, כתחליף להתנגדות במציאות",Positive
"@Chmeika אני לא אטימולוג מקצועי, אבל הריסה מגיעה מהשורש ""ה.ר.ס"" בערבית שיש לו משמעויות של למעוך, ו""חרוסת"" מגיעה, כנראה, מהמילה ""חרס"" בגלל הצבע שלה. אבל אולי מישהי יודעת יותר טוב ממני.",Positive
עלילת דם 2020: ערבי הוכה בסכסוך רומנטי בכפר והאשים את היהודים https://t.co/zhTxYI0LHg,Positive
RT @RotterNet: עלילת דם 2020: ערבי הוכה בסכסוך רומנטי בכפר והאשים את היהודים https://t.co/zhTxYI0LHg,Positive
@SiaJass @Yotam__ @TamarAlfi @RachelliGresser @antoineeliaroni @tamarzandberg @AyOdeh לא כל הפלסטינים עם חמאס.,Positive
@TaliFreidOsmolo @SiaJass @TamarAlfi @RachelliGresser @antoineeliaroni @tamarzandberg @AyOdeh הדם שיש לנו על הידיים הוא ברובו שם של חיילי צבאות אויב וטרטריסטים ברבריים. הדם שיש להם זה דם של חפים מפשע.,Positive
"@YarokBaeinaeem זה טענה של אחד מאלה שבאו לפזר אותם. לא מכירה הוכחה לזה שכל המשתתפים היו נוצרים ולא חושבת שהיה פה איזה מסר אנטי-מוסלמי, אם כבר זלזול בדת בכללי",Positive
"@TamerAm48431889 רצח אחד שקרה בליווי משטרתי. צר לי להרוס לך, אבל אפילו מהנרצחים האלה לאף אחד לא אכפת. רק מזה שהמשטרה אימפוטנטית מספיק כדי לאפשר כזה דבר אפילו כשהם ליטרלי שם.",Positive
"@instabaluga איזה ציוץ חרטא.. תות ערבי - כמו חסה ערבית, כינוי לגידול בר ללא טיפול בכימיקלים. אין פה גזענות אלא טמטום - שלשמחתי מתגמד מול היופי שבשיר, שאמנם מוציא דיבה רעה אבל מנוסח היטב ומנוקד למישעי. מזכיר שדווקא בשנה הבאה - שנת השמיטה, יש יהודים רבים שמעדיפים גידולי נכרי.",Positive
@SiaJass @Yotam__ @TamarAlfi @RachelliGresser @antoineeliaroni @tamarzandberg @AyOdeh לא נכון. הרוב עייף ולא מעניין אותו לא חמאס ולא פת'ח. אנשים רוצים לחיות בשקט.,Positive
@mossi_raz כיבוש הומני זה כמו להגיד רצח הומני,Positive
"עדכון: רמזאן קדירוב, נשיא צ'צ'ניה, שיתף בערוץ הטלגרם שלו כי אחד מן השוטרים פצוע אבל בחיים. עוד כתב כי המשטרה הצליחה לגלות את זהות התוקפים. התוקפים,לדבריו,הם חסן וחוסיין (שם משפחתם לא צויין). והגיעו לצ'צ'ניה לפני מספר שנים מאינגושטיה (רפובליקה אוטונומית בעלת רוב מוסלמי ברוסיה)",Positive
@TaliFreidOsmolo @Yotam__ @TamarAlfi @RachelliGresser @antoineeliaroni @tamarzandberg @AyOdeh זה היו בחירות בשתיהם אבל ארצות הברית וישראל לא רצו וגם חמאס לא היה שלטון לה בגדה היא כבושה אז נשאר עבאס,Positive
@SiaJass @antoineeliaroni @TamarAlfi @RachelliGresser @tamarzandberg @AyOdeh הפלסטינים עשו טרור בלבנון ונלחמו בנוצרים,Positive
"@mishbetzet1 אל תיתמם. אין הגדרה כזו ״גידול ערבי״ לתותים שלא מרוססים. עם כל הכבוד לצהר, שבאים לייצג משהו מתון יותר, מוטב שיתנסחו בצורה המכבדת אחרים. נראה אותך מפרסם בניו יורק שלא לקנות מלפפונים נגועים מגידול יהודי.",Positive
"יש לי תווי פנים גנריים רצח ובאמת שלפחות פעם בשבועיים שואלים אותי אם אני מכירה אותם, אומרים לי שם של מישהי ספציפית או שואלים אם אחותי למדה איתם בשכבה. והיום: נועה צוברי. מי את?",Positive
@TaliFreidOsmolo @Yotam__ @TamarAlfi @RachelliGresser @antoineeliaroni @tamarzandberg @AyOdeh לא בלבלתי חמאס לקחה את הבחירות ( כמובן שרוב הפלסתינים לא רוצים התנחלויות ושלום עם ישראל כמו פתח,Positive
@Ahmad_tibi תכף מחבלים יתחילו להתלונן שרחוק להם לרצוח יהודים בערים יהודיות ושהקורבנות צריכים להגיע אליהם. חוסר התחשבות בקהילה,Positive
רק בשביל להבין מה זה משטרת ישראל. בשבוע בו ניידת משטרה פוגעת ברכב והורגת את אחד מיושביו רצח לכל דבר. הם מלווים עבריינים על כביש שש ותוך כדי הליווי העבריינים נרצחים. תגידו יש יותר עצוב מהמשטרה שלנו?,Positive
@YaronK58 @HagaiShechter אבל אתה לא מרגיז אותי.. צעקת את המילה כיבוש שזה מה שאתם השמאלנים יודעים רק להגיד והגבתי לך תגובה הגיונית. ואז אתה מתחיל להגיב דברים לא קשורים ונראה כמו שיכור עם טוויטר. אתה מסוגל להתייחס ברצינות לטענה שלי או שין לך טענה כי כל העניין שלך זה להיות אנטי יהודי ככלל?,Positive
יוני נתניהו. רצח של רבינו חיים. ביבי ליטאי,Positive
"@TaliFreidOsmolo @SiaJass @TamarAlfi @RachelliGresser @antoineeliaroni @tamarzandberg @AyOdeh אותנו,נדאג לעמים אחרים. כל עם אחראי על עצמו,אלא אם עם אחר מתערב ואין ביכולתו להגן על עצמו.אף אחד לא רודף אץ הפלשתינאים,הבעיה המרכזית בהם היא שהם תקועים בעבר ובחזון של פלסטין השלמה.וזה בדיוק ההבדל ביננינו לבינם,אנחנו בעד שלום והם נגד.",Positive
"@ayeletlash9 כבר שוכנעתי שמשטרת ש""י כל יעודה זה להציק למתיישבים ולשמור על הערבים. אחרי שום רכב פלסטיני הם לא היו רודפים ובטח לא נוגחים בו אבל הדם של יהודים שווה פחות ממים.",Positive
RT @DemocratiaMahui: רק בשביל להבין מה זה משטרת ישראל. בשבוע בו ניידת משטרה פוגעת ברכב והורגת את אחד מיושביו רצח לכל דבר. הם מלווים עברייני…,Positive
@YaronK58 @HagaiShechter לא מיצינו כסירבת להגיב. אתה יכול להגיב על למה הפלסטינים סירבו לעשרה הסכמי שלום או שאין לך תשובה ואתה רק יודע לצעוק כיבוש?,Positive
@yaircherki כמו שבחורי הישיבות לא הקשיבו לפסקים של המסכות (דין רוצח) ולא מקשיבים עכשיו (חיסונים)... דרעי לא קורא נכון את השטח... לא רוצים את נתניהו שסגר בתי כנסת ושלח שוטרים להתפרע על חרדים. אנשים רבים פשוט לא יצביעו...,Positive
"מי זאתתת שעד שקיבלה ביצים לשלוח הודעה בפייסבוק לאיזה עורך מוזיקלי קבלה הודעה שהוא כבר שנים! לא עורך מוזיקלייייי🤦‍♀️ היום בפינתנו, שאת תמכרי תכריכים אפחד לא ימות 🤦🏻‍♀️ https://t.co/09v82NytYa",Positive
@Jeu9jaCHpqKWX57 @HagaiShechter מקור הבעיה הוא סכסוך דתי לאומי על אותו משאב. לא תמיד הכל פתיר. זה לא משנה את המקור לויכוח. מי שחי/עובר בשטחים שלא יתפלא אם יש פיגוע.,Positive
משטרת ישראל מפעילה יותר מדי משאבים באנשים שלא מסכנים אף אחד כמו שפי פז ונערי גבעות בני 16 ופחות מדי בסכנות האמיתיות... אשכרה רצח בלב מדינת ישראל למרות ליווי משטרתי של 2 ניידות. משילות גרסת אמיר אוחנה. @AmirOhana @Likud_Party https://t.co/eeEDDUOV3m,Positive
@zahalkajamal לבחור בין להיות יהודי לציוני זה כמו לבחור בין להיות ישראלי או פלסטינאי...,Positive
"@asishefer @GoodbeerOssi למשל בסוגיית הלבט""ב איימן עודה ועאידה תומא הצביעו בעד. כל השאר זה סתם סיסמאות רקות מתוכן, טרור ערבים ושטויות. כל הרשימה דוגלת בפתרון כל הסוגיות בדיפלומטיה ומגנה כל אלימות. כל הרשימה מאמינה ותומכת שבשיוויון והרוב ללא ספק תומך בדמוקרטיה. תתאמץ קצת להכיר מי יש בצד השני אולי תופתע.",Positive
"@Jeu9jaCHpqKWX57 @HagaiShechter אם הייתי ערבי לא הייתי מסכים לשום הסכם עם התנחלויות. אבל מבין שמה שקרה ב 48 לא הפיך ומוכר ע""י העולם ואני חלש לשנות זאת. הערה: לא בטוח שאני חטשב כמו ערבי.",Positive
@sheffipaz תראו איך הוא נראה המכוער הזה. בן אלף זונה. מקווה שהוא ימות במהרה בימינו,Positive
"@YaronK58 @HagaiShechter ומאז הסכמנו לעוד 7 הסכמים שהם סירבו להם כשאחד מהדברים שהתעקשנו עליו זה פיקוח לטווח ארוך על אירגון הטרור מתוך רצון להבטיח את השלום והביטחון של המדינה והם סירבו כי הם רוצים דליטה מוחלטת בגבולות מה שיתן לחמאס הזדמנות לבצע את רצון ""מהנהר ועד הירדן פלסטין תשוחרר"" שלהם",Positive
@YOSEPHABARAK1 היא ראסמי- פיגוע משפחתי לכאורה אבל לא בחילה,Positive
@Yotam__ @antoineeliaroni @TaliFreidOsmolo @TamarAlfi @RachelliGresser @tamarzandberg @AyOdeh יא חביבי יש לי דת אומרים נוצרי או מוסלמי אני הערבי שסבא שלי היה חי בכפר ליד חיפה עובד באדמה מה הוא אשם במה עשה היטלר?,Positive
"@TaliFreidOsmolo @SiaJass @TamarAlfi @RachelliGresser @antoineeliaroni @tamarzandberg @AyOdeh זה בהכרח מנע. אם כך, מדוע לא הוקמה מדינה פלסטינית מעולם? פתאום כשישראל קמה גם הפלסטינים רוצים מדינה. צירוף מקרים? הרי מעולם לא היה לאום פלסטיני.",Positive
אנשים: *מתלוננים על זה שאסור ליסוע לחול וכמה הם מתגעגעים לאירופה* אני שהולך בדרכו של יצחק אבינו שכף רגלי לא יצאה מהארץ (אלא אם כן רמאללה זה חול מה שלא נכון ישמאלנים): 👍🙂,Positive
"הרצח לעיניי השוטרים בכביש 6 | ""רצח בחסות המשטרה"" - צפו בדברי ח""כ @osamasaadi63 @IL_police https://t.co/240Q2zXpw3",Positive
RT @Eli_Samuel_: משטרת ישראל מפעילה יותר מדי משאבים באנשים שלא מסכנים אף אחד כמו שפי פז ונערי גבעות בני 16 ופחות מדי בסכנות האמיתיות... א…,Positive
"RT @eladmeidar: השפיות שלי: אני רעועה רצח קופ״ח כללית: בוא לקבל חיסון! גם קופ״ח כללית: סתם טעינו, רק בני 60 ומעלה בנתיים. השפיות שלי: https…",Positive
RT @yonimaataose: אנשים: *מתלוננים על זה שאסור ליסוע לחול וכמה הם מתגעגעים לאירופה* אני שהולך בדרכו של יצחק אבינו שכף רגלי לא יצאה מהארץ (א…,Positive
"@MatanKahana אני לא מסכים עם מרזל בדבר הזה אבל עדיין הוא עדיף לי על פניך - הוא לפחות צועק על רצח שלל נער בזמן שאתה שותק כי לא נאה לך להצטייר כשייך ל""נערי הגבעות"".",Positive
"@instabaluga עזוב אותך.. זה באמת מוצא מהקשרו, בטח בהקשר של רבני צוהר. לא יודע לגבי הניסוח - אבל הם בפירוש לא מתכוונים לבעייתיות הלכתית בגלל גידול על ידי ערבי. יש צורך לטפל בגזענות אבל זה לא המקום. לדעתי, הלא כל כך חשובה, דווקא התגובות לשיר שלך מצביעות על דתופוביה..",Positive
@DaphnaLiel ברור בגלל זה הוא עזה סגר הנאשם חושב רק על עצמו ולא זוכר מה הוא אמר על אולמרט,Positive
"@ArikRainish 3 אפשרויות 1. fh 2. להביא עד אז שחקנים שישחקו (מה שיצמצם את כמות השחקנים שיש לך ב19 בכפול, תלוי צ׳יפ ומה אתה רוצה לעשות שם, אם בכלל) 3. להתפלל חזק רצח ועם כוונה",Positive
"@GLZRadio @ShaniRami ככה זה בישראל התקשורתית, יש חרדי, מתנחל, מפגין (שזה כל השמאל) וצעיר, אין פה ערבים בכלל",Positive
@sheffipaz מה עכשיו הפילו עליך את רצח אהוביה סנדק 🤔,Positive
@arieh_king @roysharon11 @marzel_ba בוא נסכם שמי ששתק על רצח של נער לא יגנה פציעה קלה של שוטר.,Positive
אמרו לי שכולם מדברים על פוליטיקאי מסויים שלובש בגדים מסויימים ובאתי לבדוק מי זה כי אני סקרן רצח,Positive
"@GilaGamliel ""הנחתי לשדוד ממכם 45 מליון ש""ח כדי לשרוף אותם על שטויות שאני חושבת שיעזרו לי פוליטית""",Positive
@adorelalii מסריח רצח באמתתתתת😭,Positive
