text,label
ערבים מערבים,Positive
הבנתי המילים האילו שיכות למישהו,Negative
מסכן גנץ הלך לפוליטיקה בכל נשאר רמטכל לשעבר מכובד מאשר האיש שרצה להחליף ביבי והתרסק אביב כוכבי הרמטכל היקר להגיע לפוליטיקה,Negative
בית היהודי מתנצלים,Negative
ואיזה שרמוטות זונות העיתון הזה מחבל רוצח יהודים היו רושמים עקב הכיבוש והעוני ואין מילה כזאת פלסטין שאיו מדינה כזאת תפנימו הרג מוסלמים שונאי ישראל עיתון שמאלני זבל,Positive
חבל האנרגיות גברת רוזין הדעות סחורה פגומה והימין הלר שולט שנה אלא ישלוט ב השנים הבאו,Negative
רפואה שלמה,Negative
יאיר יקירי בחרתי בך שנתים יודע בודאות שאבחר בך ובנבחרת בחירות הקרובות הכנסת מושגים חדשים לפוליטיקה וזו בושה לעמוד ביביהו וחבריו חזק ואמץ,Negative
עדין בטוח ב שזה תימני מראש העין,Positive
היום היו בשדרות,Negative
ראש המשלה הבא ספק בכל,Negative
ילה ישרמוטה לכלה השם היתברך יכה בכם זובדם אמן,Positive
יאיר גולן שקרן עלוב,Positive
פח אשפה מתחבא החסינות לחשוב שהאיש המסוכן הזה סגן הרמטכל,Positive
יהי זכרם ברוך צער עמוק בלב וצער עמוק בלב שאנחנו להסתוב ביטחון בית יאיר ברכות אישור התקציב בקריאה ראשונה מקוה שהאישור הסופי יעבור חלק וחברי כנסת בעלי אגו יתחילו להבין שבאת לתקן ולשפר חי האזרחים,Negative
בנט ורגב צודקים שאת כתבת הראה נכון,Negative
לעשות החידק הנורא הזה שרק החלימו מנו ה טירופקוקוס הזה כשהוא תוקף מוסלמי האיש הופך לרוצח מטונף וכשהחידק תוקף יהודי נשארים אדיוט שימושי שמשתף פעולה החולה המוסלמי,Positive
המחבל עמי פופר הבן אדם עבר אונס עוד אנשים שצופים המרחק מחבל לזה גדול,Positive
משימה ראשונה באג נדה הגבלת מספר קדנציות לכהונת ראה מ חובה,Negative
כלב עוכר ישראל שמתפרנס חשבונינו לך לעזה,Positive
מאוד הגיוני לצ פר האלימות הגיון מרצ,Negative
להרוג הכלב זבל עופות,Positive
מולך בתמונה השקרן הגדול חסר כסף,Positive
