text,label
משטרת זונות,Positive
ביבי סופר מחצי מטר ואתה רוצה עימות דקה שוה לבזבז יטמבל,Positive
אמור מעתה ראובן ריבלין מספיק הרובי הבנאדם נשיא המדינה רחוב סומסום,Negative
זבל שמאלנים וערבים,Positive
מושחתיהו,Negative
שמנותק שר אוצר בדיוק היתה שכחתה,Negative
האירופאים מחוסנים מסוכן שידביקו,Negative
מקוה שהמדינה תדע לפרגן שצריך,Negative
יאיר סיכוי שתקרא לחים הרצוג לעימות טלויזיוני הרבה מצביעים מבינים הבדל המפלגות וחבל מאוד שבת שלום,Negative
תראו שמדבר,Positive
שונא שקרן,Positive
תנחומי ת נ צ ב ה שלא תדע צער,Negative
יודעים בודאות שהפרקליטות מושחת מתאים,Positive
להרוג הכלב זבל עופות,Positive
פחד לירות ח דפוקים נהינו כנראה העורך דין ענה השר שסרח יעלון,Negative
תודה ובהצלחה עדין סומכת,Negative
כלב בן כלב משחק תרבותי,Positive
ליברמן האיש הכי מושחת במדינה מאז הגיע לארץ מולדביה,Positive
רגבים יעזור יושבים הלב,Negative
הידע והעקרונות לפיד מסתכמים בארבע מילים שנתניהו אמר הפוך,Negative
הצגות חרא במגזר החרא בלבד אצלי בישוב,Positive
מפלגה מכחישי קורונה ושונאי אנשים בושה לערוץ שמאפשרים לשני ליצנים להנחות תכנית כזו רדודה ונמוכה,Negative
לצבוע ולעדן מילים תקרית פעולת טירור מכונת ידוי אבנים מנת להרוג אבנים הורגות דוד הרג גולית,Negative
מצב יאיר גולן שתול החיזבלה,Positive
חיטול מלא בחרא יא אפס יא אילומינטי יום יבוא תעמוד למשפט יא מסיתן גזען אפסוסי,Positive
סומכים להרפות יאיר גדול,Negative
יאיר גולן ביצים להסיר החסינות זונ גרמניה,Positive
עיתונאי רוצח תיזהר,Negative
בוגד אפס,Positive
הצעת חוק שאני מעלה להרוס לך ולחבר מרעיך הבית החצר הגינה וכל,Negative
עיתון זבל להשליך לפח,Positive
נגמרו הסמים מצור עזה יבוא,Positive
אפשר להצדיק שחקן ערבי גזעני,Positive
זהבוש שרוצה לעזור לצבא למוסריות פונה לצבא לחקור טענותיהם ולא לעולם הבעיה שהם מאמינים שבעולם יאמינו לשקרים,Positive
שיש לאמר פח,Negative
סופר גזען גזענית קטנטנה,Negative
צריך לפתוח לך ול ערוץ טלויזיה,Negative
בן כלבה ימח שמך וזכרך זבל,Positive
ערבי אויב,Positive
אומר לכל תושבי בית שאן וזה נכון לכל עירת פיתוח שהפכה לעיר כול תושבי הנגב הליכוד תמיד דפק ולמה מצביעי ליכוד מינקות משנה כמה מתעלים בכם מצביעים ליכוד הצעה תגידו לכולם שאתם מצביעים ליכוד בשקט בשקט בקלפי תצביעו שבא ליכוד ותראו לכולם שאתם מסמרים ואתכם דופקים,Negative
ת רמה השתלחות קרה לך גנץ תעתה בנו פעם אחת הולכת שול,Positive
חיבים להעיף מהפוליטיקה ומהר,Positive
ביזיון פשוט חיות אדם בכם טיפת תרבות ברברים,Positive
כמה כאלה צריכים הרבה חונקים,Negative
כבר ביבי אחד וימין בשפע צריכים,Negative
עברה בהצלחה הוצאת התוספתן והיא בהתאושות תודה לאל אפשר להמשיך בשיגרת חינו,Negative
לפידוש אנו סומכים בנימין נתניהו ראש המשלה,Negative
תפסיקו לעדכן התקשורת עושים שמאלית ומקלקלת,Negative
קשה בת אלף זונות אמא אחת ולכן בת אלף זונה הגיוני,Positive
די להתקיף דברו תוכניות מהות תפקיד המשלה כמשרת ה ע ם ולא הטיקונים דברו מהי הדרך האמצעים שאותם להפנות להפחת המצוקה,Negative
הו שקרן ובוגד,Positive
כחלון סיעת בגן ילדים תצרף חברת כנסת,Negative
לוחם קרמבו קומנדו והכל בזכות מערכת המשפט,Negative
שמואל מסריח חמסניק רוח לעזה יכלב אבן כלב,Positive
צודק במאה אחוז הכבוד הלואי שבנט יפיל נתניהו,Negative
הקדשה לאח בועז שאת מקדיש בפילין,Negative
קוף מסריח,Positive
ציפור מקפצת הענפים מחפשת ענף גבוה לעמוד,Negative
כפים למירי,Negative
שנות ליכוד כדאי שבמקום להכנס בגילה אלמגור תכנסי בלימור לבנת,Negative
אסור לאדם שמזלזל בציבור נציג,Negative
ליכוד,Negative
טרוריסטית זונה,Positive
מדינת פח,Positive
שמענו הדוקטורנטים מהערבית בירושלים שכמותה מעודי טרור גיס חמישי,Negative
שונאנו בכנסת המצב,Negative
חולים פסיכיאטרים הסובלים מסכיזופרניה ה,Positive
מירי יקרה צריך שהם ישלמו ועכשיו ומהר נישרף מקום קדוש היתה מלחמה יאלה חלאס דיבורים ולעבור למעשים השפלים הרוצחים שבת שלום ישראל חי,Negative
ח טוב שנזכרת הבחירות להלחם הבריאות תלחם הכיסא,Positive
ואתם תמכתם בשיחרור מחבלים דם הידים והתקפלות במבצע צוק,Positive
משלת ליכוד חלשה ושמאלנית בושה לאלה שבחרו בכם ולעמישראל,Negative
חמאס מכשול לשלום,Negative
דוקא סיבה יהודיות הענין נבלות,Positive
שקרן,Positive
הפנימיה הצבאית כור היתוך ישראלי יחיד במינו מתחנכים בה דתים מסורתים וחילונים בני העיר והכפר כולים ותיקים יהודים דרוזים בדואים צ רקסים ענים ועשירים וכולם משפחה אחת אחים לדרך ולערכים ערכי מדינת ישראל והציונות והם מדביקים בני המשפחות ב ביחד הזה וכולנו משפחה אחת הילדים האלה מותרים נוחות החים בית למען ערכים ואידאלים והמדינה שמה איקס גדול היום הילדים האלה מהשורה הראשונה תלמידי הריאלי ומובילים בהתנדבות ותרומה לחברה חיסול הפנימיות מגמתי ומסמל לצערנו אבדן ויתור ערכים וסמלים ומחיקת מסורת אזרחית ציונית המדינה מדינה וצבא המוחקים ערכים סמלים ומסורת מאבדים דרכם צבא הופך ליגיון ולא לצבא המדינה בעיקר כשהפנימיות משרתות רבים מיעדי תכנית גדעון בתחומי כוח האדם הצערת הקצונה יוצאים לקצונה בגיל צעיר מקצועיות באים מטען ידע בתחום הצבאי ערכיות ועוד,Negative
גועל נפש בני זונות,Positive
הפיתרון להעיף,Positive
מולך בתמונה השקרן הגדול חסר כסף,Positive
תראו בוגד בתחפושת,Positive
אתמול בגבעתים חציתי מעבר חציה וקפצתי קצת בחורה צרחה לידי לך מה יא בן זונה תסע,Positive
המקסימום כנאפה וגם בעירבון מוגבל,Negative
להעיף מכנסת ישראל מקום כחברת כנסת,Positive
בי גביר מלך,Negative
ישר כוח מירי,Negative
הפרשות החדשות יום,Negative
בשורה נפלאה רוצים ערוץ הכבוד לביבי גלאון תפוצי,Negative
גנץ נראה ונשמע איפ מביך,Negative
אפשר לקרוא לילד בשמו כפיה דתית שקורא במגדלים,Negative
עדיף בן גביר ליצמן וביבי מאשר עתיד שבעצם עתיד בכל,Negative
ב ה כבר הכנתי כרטיס טיסה למקרה שבוזי הכלבלב נבחר,Positive
כמה אפשר לחיות סתומה ליבני,Positive
שמאלנים וערבים תזדינו מהמדינה ליברמן,Positive
תעשו משהו מתחנן החוצפה עברה גבול פשוט,Negative
צריך לשמור ריבלין מכל משמר ובאותה עת לבטל מוסד הנשיאות,Negative
לנקות מפרץ חיפה כמה שקר מוציאה יודעים טוב אנשי הקריות צלת בנחל הקישון מך ולאיכות הסביבה שקר גדול,Negative
יתכן שאף ערבי מוחה סימון מוצריו משוק כול החומוס ציפס סלט למקומים בלבד,Negative
גב גלאון העונש המגיע ואף מזה האם חסים אנשינו ילדינו ולכן הקם להורגך השכם להורגו אנו הורגים הגיע הזמן לנקוט ביד קשה מה שנהגנו כה,Negative
יפה בהצלחה,Negative
ביבים וכל החים ישראל,Negative
חבורת מטומטמים,Positive
לשחר ירושלים מהכיבוש המוסלמי לאלתר שהם יהיו בני אדם שילכו לעזעזל התנהגות הרצחנית צריכה לקבל תשובה הולמת,Positive
צועק בהמה חיבים להעיף,Positive
כשהם משתפים אמירות אומר שהם מפחדים ושאתה בכיון הנכון חזק ואמץ,Negative
הרג,Negative
מהר לסלק אחד פיגוע,Positive
הפעם מצביע נראה אצביע ביבי,Negative
בוגד שלילת אזרחות ולסגור עיתון החמאס הארץ,Positive
מזלם שהם בני דודים מזמן היו מסולקים משם,Positive
כבוד ויקר גאוה לכולם,Negative
שפוכת אופטימיות חסרת בסיס בכל התגובות ליצן החצר משיך לקשקש כאילו התקימו כבר הבחירות והעם אמר עדין דברו ובכן אמנם מצבכם קשה קשה מאוד חסר תקנה נסו להתעלות עצמכם והבינו שהסיכוי שתחזרו לשלטון בדור הזה נקבר קבורת חמור,Negative
החלטת להרוס קצת הצביון היהודי המדינה רוצה תחבורה ציבורית בשבת תהגרי לעזה זל חלאה כואב לך שנשאר יהדות נראה מנסה משהוא האסלם בישראל לדוגמה הוליום בשעה בוקר שלא נותן לאנשים לישון יא זבאלה,Positive
ימנאיק תנו לאנשים לחיות בשקט ירשעים האדמות האל והוא נתן כולנו והסוף כול אחד הקבר ימגעילים,Positive
איש עלוב ושקרן,Positive
תשמע בוז י אתמול ראיתי התרגשת נתניהו שאמרת אנינו נשמור נתניהו מאוחדת ואני אמרתי לעצמי האהבל הזה מתרגש ליד נתניהו ליד נשיאים וראשי משלה יתכן ויהיו צריכים להלביש טיטול שאם תעשה פיפי במכנסים ירגישו ולכן מצטער להודיעך שאתה עשוי מחומר שמנהיגים עשוים עוד בדקתי הרקורד הפוליטי בקטשי היגעת שר הרוחה בושה וחרפה ומשם רוצה ראש משלה קודם תעשה תפקיד בכיר נשקול מועמדותך לראשות משלה סליחה מתאים משר הרוחה,Negative
הרג סתם לא סיבה שימות והמשפחה יודעים מתגיס למג ב בד כ,Negative
ואתה לפיד בולם אפשרות לקידום טובתה המדינה,Negative
לך תעשה קה יה מושחת בוגד,Positive
כול הכבוד מגבניק,Negative
הרבה לתקן במדינה ויש חש שעלינו סירטון משלה שהשחיתות פשטה בכל פינה טובה הדג מסריח מהראש רוצים לאכול בשר פיגולים רוצים מהפך ומה שמסריח לזרוק לפח,Negative
שרוליק תחליף הסלוגן לתמונות ושים התמונה רקע המחלפים בהצלחה בר מנשה נהריה,Negative
ילד קי לך תעשה חמוצים,Positive
גנץ ראש המשלה התחליפי כשה מדובר בתחליפי ולא באורגנל הזבל צף,Positive
יום ראשון נמר החים לחוצפן שיעז לרוץ שהוא מת,Positive
חיבים לצאת לרחובות לפחות מיליון איש ולא לת למשלה ברירה להמשיך להתפטר ומיד,Negative
איש מגעיל ועוד ריחמתי שהתנדנד אחוז החסימה,Positive
עוד תעלם מהכנסת,Negative
איש דוחה ומגעיל מנול,Negative
למאמנים בית ר יתנו ליברפול יפסידו,Negative
צריך לפתח מירט לטילים גרעינים איראנים שיזום הפיצוץ הגרעיני באויר ויוכיח שהיתה התקפה גרעינית מנת לאפשר תגובה הולמת בהמשך להסכם המסתמן המעצמות,Negative
סוף סוף משהו שעומד בגאוה ובלי בולשיט ואומר האמת בושה כיסוים מורא אנו היהודים במשך אלפי שנים סבלנו מרדיפות הורדנו הראש והמשכנו הלאה אנו מצאנו דרכים להתמוד מצאנו דרכים לחזק אמונתינו ובצדקת דרכינו למען שביום הימים יבוא היהודון התורן ויערער שנות הסבל ושוב התנצל ושוב יוריד הראש ושוב יפחד עוד שכלו עדין בראשו חיב להבין שהחלטה אחת זו אנו שלום ב שנים הקרובות ניהול הסכסוך ומבט להציל חובה לזכור זו ארצינו זו מדינתינו נשאר בה לעד ונלחם טיפת הדם האחרונה נפתלי נצביע לך בגאוה ובגאון ונגיס חברינו מכרינו וכל שאיכפת בהצלחה,Negative
זבל זיבלי,Positive
נראה שהסרטון הזה חיובי מדרך התקשורת נעים לראות ראש משלה שלא נותנים לענות ושלא מקבל הכבוד הכבוד הכבוד כולנו רוצים גאון יעקוב,Negative
לפיד מתאים תוכנית בידור שהיה לנהל מדינה בדיחה אחי,Negative
תנוחמו השמים,Negative
יעני סמולן איבגי משמעותי במשפט,Negative
חיבים להעתיק דוגמאות הרהורי הלב האמיתים העם תירגמתי למודעות,Negative
חבל שרק אחד חדשות משהוא בתור אזרח מרוצה אפשר להרוג עוד כמה,Positive
ראינו ואני מצפה שיוטל ועל חבריו הסדיסטים והפרימיטיבים עונש חמור,Negative
אמא שך בגבס יודע אמא אמא זונה יראש זה יגבר כזה ימניאק אמאשך כזאת ואמאשך כזאת אלה ימזדין בתחת טוב מי בכל שתרים הקול עלי יא ילד מפגר מי שאני יבוא לחוף שאתה גר בו אופנים יא בן זונה תקשיב,Positive
זהו חסינות תמורת שמאלניות,Negative
כמה שהוא מכוער יאומן,Positive
עלוב מר כישלון לוזר איפו המימד החמיש ינקלביץ הניד ומה שמצאו בו אוי סמרטוט והאשה שלא נדע מצרות,Positive
בושה שיש חברי כנסת ערבים צריך להעיף שילכו לסוריה היו עושים מיד היו מחסלים,Positive
השאלה מחוסנים,Negative
שרמוט,Positive
בעיה תביא חומוס צ יפס סלט,Negative
השורה התנחלויות מעודת אלימות,Negative
איך הטמבל הזה רמטכ ל ה ישמור אידיוט,Positive
גיבורים אלהים ישמור,Negative
ומה מקורות הירי בית חולים אונרא נשים וילדים שיביא היסטריה חוסין א והפודל קרי תמוך יא פישנזון,Positive
התפקיד לזין סוף שום שרות לדפוק האזרח בדוחות,Positive
עלה והצלח גיבור ישראל ה ותהא שליחותך מבורכת עשרות מיליוני לבות פועמים בתקוה להצלחתך,Negative
מפחד פדיחה,Negative
צעד אחד חשוב שלא מופיע לשבש לנתק רשת האינטרנט הכל מתחיל,Negative
מרגש מאוד ילדים אלופים פרגון מלא ואהבה גדולה מש גרמתם לבכות גולני מזה מגניב,Negative
אנטישמי מסריח הלואי שהשם יקח מהעולם,Positive
זונה ערביה,Positive
בריאות ונחת,Negative
בן זונה,Positive
שהאום יתעסק במה שקורה במדינות סוריה אחד פוצה פיו מש צביעות,Negative
פסיכופט,Positive
כ כ צעיר חבל דאבדין,Negative
בהצלחה בשם ה נעשה ונצליח אמן,Negative
במקום השוטר היתי מקרב המגפון לתוך הפה מתי מדברים מרחק חצי מטר מגפון בן אדם ואם במקום שוטר ערבי נראה טוב,Positive
תמימה ופתיה,Positive
השרים והפוליטיקים בישראל מגיבים שהם מגיבים לכתובות גרפיטי,Negative
ערב טוב ושבת שלום חבל לזרוק שטות מש הבחירות צריך להתמקד במצע ולא במשפט נתניהו,Negative
השמאלנים מטומטמים,Positive
מקבלים משכורות מהמדינה ושונאים,Negative
משתף בצערכם שלא תדעו עוד צער,Negative
שפוט מנדבליט תופס ביצים,Positive
לחוק חוק להעיף מהכנסת,Positive
ליכוד מילכוד,Negative
מירי מאחלת לך בהצלחה ומאמינה שתצליחי ותמשיכי להילחם ולהביע דעתך בכל הנושאים החשובים העלאת השכר לחילים ישר כח,Negative
מחבלים בישראל יהודי דם מדמינו,Positive
ברוסיה זבל הולך לסיביר לאיזה בור,Positive
לגמרי זכינו חרוצה וחזקה סוף סוף שרה עובדת שאכפת מהכל,Negative
השמאל יביא אסונות לעם ישראל תומכי זכויות מחבלים שרצחו חילינו ובנינו סכנה,Negative
שילך לגור פחשל זבל,Positive
בושה עיתון אשפה,Positive
הכבוד תבורכו,Negative
תפכח כבר הפכת לנשיא והפכת עורך,Negative
תותח חיב ליהיות ראש המשלה,Negative
סמרטוטי ריצפה,Negative
זבל נישאר זבל וכותב זבל,Positive
תסתמי כבר,Negative
ציפית מהעברין המורשע הזה מקומו בכנסת ובטח במשלה,Positive
חמור מאוד,Negative
ואלה תראו התעור הפושטק שתק בחקירה,Positive
בוזי להאמין לך ועוד נבחרת שיש לך,Negative
בת זונה מזדינת,Positive
ימח שמם בני זונות,Positive
עולם יפה ערבים,Positive
מיזה קוטלר,Negative
לחרוש המגרש,Negative
תוציאו אוטובוסים למצביעי ליכוד שאין להגיע תנו קונטרה לערבים,Negative
קשקשן,Positive
