text,label
@BittonRosen אלה שוטרים? בושה למשטרה שכך מתנהגים שוטריה.מכות לנער. תעצרו אותו או תשחררו אותו למה מכות רצח נוראיות. היהדות אומרת השנוא עליך לא תעשה לרעך. יש לפטר שוטרים אלה במיידית.,Positive
יא אללה הוא גם שחקן על וגם חמוד רצח מזה. https://t.co/j7a4p70DqP,Positive
אין עתיד עם יש עתיד ! לפיד הוא שרלטן. גדול השקרנים שהיו בכנסת ישראל מאז ומעולם. איש ריק מתוכן. פלקט בחירות וזהו.,Negative
כל הכבוד למישצילם,Positive
חחחחחח....הם צודקים הולך להיות כאן חם בקיץ הבא לא בטוח שהתיירים ירצו לבוא לכאן ...,Positive
"@MisterSuricata @IsraelGaley @YotYotam @noam_fathi @hananamiur או, תודה באמת על ההרמה להנחתה: 1. נכון, זה לא דומה. ולכן לשיטתך אין בעיה לנגח את הרכב שלו, ולא קרה כלום אם הוא מת. כולה מתנחל. 2. סלומון תקה לא היה אוטיסט ולא בדיוק העביר זקנה את הכביש, זוכר את התגובות הזהות שלכם.",Positive
@Mayatommo_ אולי פחות כדאי היו עושים לך רצח אופי,Positive
"לזרוק אותו מהכנסת,בוגד,מחבל,מרגל וזבל.",Negative
"@agoelman1 גם אם אתה לא מסכים עם כל צעדי ברק אן כל אמירה של יאיר גולן, עדיין אתה יודע מי ציוני ומי היה מוכן ונתן עשרות שנים למען המדינה ומי רק דואג לתחת של הקהילה שלו ושיתר המדינה תעלה בלהות. איך אמר פעם בנט: בואו לא נתבלבל.",Negative
איזה מטומטם זה רוצה להיות ראש ממשלה? השתגעתם?,Negative
"@dovibresler @bb__zb @attilus יהודי לא יכול לכנות יהודי אנטישמי זה נחלת הגויים בעיקרון...להעבביר ביקורת זה לגטימי,,,לשיטתך גם ביבי אנטישמי שונא אזרחיו שלא מוכנים ללכת בדרכו דהיינו להסכים לכל נפיחה שלו",Negative
משטרה בושה. זה נסיון רצח! https://t.co/2f30MKqzXc,Negative
"‏טל קופר‏ (‏‎Tal Kuperstein‎‏) זוג מקסים!!!!! 💙💙💙💙שרה המתוקה שלנו, שבורא עולם יברך אותך בבריאות ואריכות ימים,את הולכת ונהיית צעירה ומדהימה יותר מיום ליום,כנל לגבי המשפחה ה-ה-ו-ר-ס-ת שאתם!!! שה' יישמור על כולנו מקנאים ומסיתים ושונאי חינם וייתן לכם ברכה בבחירות ושתהיה לכם שבת מבורכת וקסומה לכם ולכל בית ישראל !!!! 🌝🕯🕯🕎🕎🕎",Positive
איך לא ירה להם בראש,Positive
"אתמול שוחחתי עם מלך מרוקו, מוחמד השישי. כך סיימנו את השיחה &gt;&gt; https://t.co/2XyaZ4VLvG",Positive
אחרי הבחירות הכל יסתדר,Positive
רק ביבי הסמרטוט אשם,Negative
@93za1A50AJuANac נראה מחבל,Negative
זה מה שהערבים יודעים לעשות הרס הרג וכו.,Negative
Aviad Shmaia תסתכל טוב תראה אותך עם הציליה מאחורה,Positive
בזכות ביבי,Positive
@RubiYona נשמע כמו ארגון טרור קומוניסטי,Negative
@avihay_halak @razamit @Shai_Saadon אני חם רצח להתחיל כבר את עונה 4 עם אשת הברזל 🦾,Positive
@Yuval16499776 @idaholloway אתה מדבר עם וויקיפדיה אני מדבר עם אנשים. היתה מחלוקת לגבי השבת הגופות וחלק מחברי בל״ד נרתמו להשתמש בתפקידם בכנסת כדי לנסות לתווך בהשבת גופות. כן הם ביקרו משפחות ובמסורת הערבית יש טקסים שצריך לכבד. עכשיו אני שואל אותך פוליטיקאים ישראלים שפעלו למען המחתרת היהודית הם תומכי טרור ?,Positive
@tunicnoah חחחח הפעילו עליך טרור?,Positive
@Haaretz יש דבר כזה פוסט-צומי? (כמו פוסט ציוני),Positive
ארור המן ונאמר אמן,Negative
@93ONLY הוא קרינג רצח אבל אני אוהבת אותו לנצח,Positive
@MayaBliAlef @Rabinova ובעברית צחה: זונה או ברה,Negative
שהוא לא יעשה ממך כנאפה איימן,Negative
"@yonatnwer שוטר עברין בשם החוק. מח""ש: להעמיד לדין את האזרח שלא מנע את רצח רבין",Negative
@ABKO319 @doko2015 זונה פוליטית כמו ציפורה...,Negative
@yishaym @L_Volf @liran__tamari @ParisTelaviv75 קשקוש מחאה הפגנה מטרתם להביע להמחיש תמיכה או התנגדות לרעיון מה שאתה הגדרת הוא טרור ואלימות במינון נמוך אתה עברת רדיקליזה מדמוקרטיה לחוליגניזם,Positive
"שמולנים עלובים חולי נפש מסוממים שטופי מוח מתוסכלים, ",Negative
"תמר זנדברג היא זונה שמקוששת קולות לקראת הבחירות, בניסיון להשאר בכנסת. עדיין לא הפנימה שמר''צ לא רלוונטית, כי רוב הציבור מבין היטב למי שייכת ארץ ישראל.",Negative
מנדבליט: הליכוד צריך להפסיק לעשות שימוש בשפה העברית בשלטיםמנדבליט: הליכוד צריך להפסיק לעשות שימוש בשלטיםמנדבליט: הליכוד צריך להפסיק לעשות שימוש כלשהו מנדבליט: הליכוד צריך להפסיק להתקיים,Positive
"שנה הבאה בית""ר חייבת לחזק את חוליית ההגנה במגנים ובלמים איכותיים.בלבול - לפי דעתי אופציה לאימון הקבוצה, במידה וחוגג יחליט להחליף את צוות האימון. מתאוסיניו וינקוביץ' סך הכל שחקנים מאוד דינמיים ומצויינים להשאיר לשנים רבות.לדלל את הקישור שהוא רווי בשחקנים.להביא את דין דוד לחוד לצד שועה ועטר.יחד עם זאת שיהיה מערך סקאוטינג טוב ויותר עבודה על כושר גופני.",Positive
חף מפשע,Negative
RT @lioratz: שוטר פחדן מלא שנאה מכה במכות רצח נער לא שמאלני.,Negative
@MoranT555 @nirhasson אין. בלי פושעי המלחמה הערבים - מה יהיה ״מנוף השכנוע״ של השמאל להקמת אמירות טרור בטווח מרגמה קלה מכפר סבא?,Positive
@hafuga48 @Irisleal15 תנהלי דיון נוקב עם מסתננים וערבים פוסט ציוני את האא?,Negative
"@Meravbenari כל המלצה כזו מסכנת חיים. מי שדוחף לשם דוחף לסיכון חיים. מי שימות כי נדבק בפלאפאל, ימות בין השאר בגלל החוסר אחריות הזו",Positive
מקווה שהמדינה תדע לפרגן להם כמו שצריך.,Positive
@noam_sch מסוכן רצח.,Positive
@Kabab_FE זה דפוק רצח ועוד ההורים שלי בקבוצת סיכון,Positive
"@motirubin @yonipi0 לפי מה שהיא אומרת פה, יש שלושה תנאים. 1. בן 20-40. 2.יישוב סוציו אקונומי בינוני ומעלה. 3. לא חרדי/ערבי/דתי. אני עונה רק 1 ו2 אבל אני נופל ב3. ומה לגבי מתכנת מחשבים דתלי בן 32 מגבעת שמואל? https://t.co/glxACcR4iG",Negative
RT @bar_peleg: הנוסעים ברכב שנורה בכביש 6 היו בשיירה של 3 רכבים תחת ליווי משטרתי כיוון שהם ובני משפחתם עזבו את העיר לוד עקב הסכסוך בין המשפ…,Positive
@BarakRavid המחבלים ביצעו פיגוע . הנער לא . המחבלים חיים . הנער לא . לעזור לך למצוא עוד הבדלים ?,Negative
הם לא י ה ו ד י ם,Positive
אווזה צרחניתשיא הגועל,Negative
