text,label
 כן וזה לא אנטישמי בכלל,Negative
" הבנתי, יאיר גולן שהשווה צעדים מסויימים בלבד לנאצים אבל נתן עשרות שנים סיכון הנפש למדינה =מוכן לוותר. אייכלר שמשווה כל יום כמעט את כלל כוחות הביטחון לנאצים ושעושה הכל לחרב את המדינה = ציוני. אתה מבין בליבך שזה מגוכח.",Negative
 זה מה שמפריע לך? עוכר ישראל. בגלל חוסר האחריות המזוויע שלכם אנשים מתים ועסקים פושטים רגל.,Negative
" אין שום סיבה מחייבת שאדם שנאבק למען השתלבות ערבית בחברה יהיה ציוני. ציונות היא תנועת הלאום של העם היהודי, אני לא מצפה שבן לאף עם אחר יזדהה עם התנועה הלאומית שלי ובוודאי שאני לא רואה עילה לבקר בני עם אחר על כך שהם לא עושים זאת.",Positive
אם פלורנטין הייתה יהודים הייתי אנטישמי,Negative
" לכן הוא לא שילב מעולם מפלגות ערביות בממשלה שלו, לכן כשגנץ הצטלם עם ראשי המשותפת בבחירות - ביבי אמר שזאת ההוכחה שהוא יקים ממשלת טרור, ""זה או ביבי או טיבי"" וכו'. אתה לא באמת מאמין לשטויות שכתבת. אי לא מאמין שאני אפילו טורח לענות על זה ולתת דוגמאות",Negative
" לא גם, אלא רק. לרוב מוחלט של אדמות יו""ש אין שום בעלות של ערבי ""פלשתיני"" כלשהו. זה לא מפריע לשמאל בתעמולת השנאה.",Positive
" הבעיה היא לא זאת, בעיני. הבעיה שבמקום לפחד מזה זו הזדמנות של השמאל לשיתוף פעולה יהודי ערבי. כנה ואמיתי. בשלה העת.",Negative
 *עושקים ימח שמו של ערפאת שהמציא את התיקון האוטומטי,Negative
 טיבי אל תסית את ערבי ישראל הם אנשים טובים שרוצים לחיות ולהתפרנס אני עובד איתם לא מעניין אותם מה קורה בעזה,Negative
 נסיון לינץ זה טרור. אתה מיתמם ויודע זאת. אם זה היה הפוך היית שם אימוגי אחר. הם ניסו להרוג ראיתי סרטונים.,Negative
 אחמד טיבי אפילו הבוחרים שלך מבינים שאתה טרוריסט מנוול תתאדה לנו מהחיים,Negative
 מסכים. אבל למה לשרוף את המועדון ישר?,Positive
"נוסעת לעבודה. שמה רדיו. בוכה. מגיעה לעבודה. בוכה. לא יכולה לצאת מהרכב. בוכה עדיין. כל המאסקרה מרוחה גוועלד. למה? כי ככה אני כשאני מתעסקת באופן מוגבר בשאלות על הסכסוך. בכל מיני תגובות לציוצים שלי בעקבות סנדק, הגיבו לי שמבחינתי אם זה היה נער פלסטיני זה היה בסדר. מה שהזכיר לי מפגש",Positive
" ממש לא. ה""זועביז"" זו הגדרה למתנגדי המדינה היהודית. אז סבבה לי שהוא מבדיל עצמו מהם. מה לעשות שהמצע של יש עתיד מכיל בתוכו גם מרכיבים של ימין (בעיקר כלכלי) ?",Positive
 קראתי אתזה בתור לרצוח והייתי מאוד מבולבלת,Positive
" אילנה חושבת שנער מתנחל שנרצח אינו הילד של כולנו. מתייפחת מבושה מול מכחיש השואה מחמוד עבאס על הרג המחבל על ידי אזריה (בני עמי בחרו בטרור), העלילה על קצין צה״ל שרצח בדם קר נערה פלסטינאית. אנחנו מתביישים באישה המבישה הזו.",Negative
 מוסר כפול:שנים הם צועקים על כל זורק אבנים ערבי שנשרט.אבל שמדובר במתנחל שנחשד בזריקת אבנים זה בסדר אם הוא מת.,Negative
 יש הבדל בן תומכי טרור לערבים נורמטיבים,Negative
 עוד פלסטיני אחד שמת סתם. פשוט סתם. על מה ולמה?,Negative
 מיקי זוהר הוא הדבר הכי טוב שיכולנו לבקש. כל כך מטומטם ולא מודע לעצמו שהוא כל הזמן מפליל את המושחת. יש לי תחושה עזה שהוא גם ישיר מתישהו,Negative
" רצח ראש ממשלה אחד זה על הראש של הימין, ומי בכלל חושב שהשמאל הקומוניסטי זה מי שמפגין נגד ביבי? רק כרותי אונה כמוך",Positive
RT: מאן אונלי האב פור מודס: בונה את בית המקדש השלישי רוצה לרצוח את כל הגויים לומד תורה עם ההומיז נזכר בזמנים שבהם הוא…,Negative
" אני מבין שזה מצחיק אותך אבל באמת שהאליל שלך מוריד מהיטלר את האחריות לרצח היהודים בטענה שהוא לא רצה אלא שהמופתי הציע לו לשרוף אותם או שגם הבן שלו אומר שהקיבוצים הם כמו גרמניה הנאצית ושלא נשכח משפטים כמו של השרת התרבות לשעבר שטענה ""פיצחנו את השואה"" ועוד משפטים, מעניין שאתה לא מזדעק",Negative
