text,label
התנהגו בצורה מכוערת מאוד ניבולי בושה לומר לימור לבנת לסתום הפה בושה וכלימה,0
זכרו ברוך,0
ישועת השם כהרף עין אמן,0
תמיד ענינית וישרה ירבו כמוך בישראל,0
בן זונה אפס,1
צריך חזון לישב עזה ביהודים זו ארצינו,0
כדור בראש לכלב בן כלב הזה,1
תפשטו ותשרפו חזיות אה רגע,0
בנט שחקת אמרת שאין פתרון מושלם וזה קצת מציג לטעמי כשמאלן צריך לשחר יו ש מהם מדינתם ברצועת עזה תוספת לתוך סיני באדיבותו סיסי צרותינו יגמרו,0
ואני אומר לך לפיד שעדיף עשיר ולא עני כמוך באוצר עשית כלום למען החלשים תטיף בעניני בריאות פשוט תסתכל עשית ואל תסתכל תקופה וירוסים הצפה ומה המיסים והמוצרים היקרים שכחת כסא ישבת,0
בני זנות רגבים,1
אחלה צורי,0
בחרתי כחלון עכשו עזבתי חוזר ליכוד,0
תסתמי בחירות הבאות כבר תיתמודי מקוה שתעופי מהחים יה זבל,1
סתום תפה בקיצור,1
כיף לראות מתעצבן שאתה מבין שהפסדת כסף ושאין פליאוף תחתון מאחל לך שקל בנק,0
אמת יהיר הולכים השקר,0
זונות,1
אחד שעל הספינה לזרוק לכלבים ולעיף מהכנסת בוגדים,0
חנין אתא אדם עלוב,0
ישתבח שמו בשורה משמחת,0
קוף מסריח,1
חרא זך,1
האם קראת הכתבה הבסיסים נסגרים אלא מועברים למיקום ומדוע בשבילך ובשביל חבריך מהשמאל שלא חס טחלילה נבנה אדמות פרטיות ערבים אפילו שבפועל אדמת טרשים כבר עשרות שנים ולכן מעבירים הבסיסים יושבים אדמות מדינה ובטח שאלתך הבאה תיהיה בונים שאת יודעת שלא מספר אזרחי מדינת ישראל ביהודה ושומרון הולך וגדל מפאת הילודה והן נדידת אזרחים מהערים להתישבות ולכן צורך בינוי צורך בסיסי שהמדינה דואגת לקורת ג לאזרחיה ולא בערים,0
אמיר מזרעאוי,0
הכבוד הלואי שיהיו הרבה שחושבים,0
נאחד כוס אמק יא זבל משריח,1
