text,label
ישועת השם כהרף עין אמן,Positive
בזכות ביבי .... לא יזיק קצת קרדיט. אם היה מישהו אחר לא נראה לי שהיו מגיעים החיסונים ... הכי הרבה היה מגיע החיסון האיראני,Positive
אחרי הבחירות הכל יסתדר,Positive
לא מאמינה. נקודה .,Positive
כל כך מזכיר את הילד המגודל מי אלכס חולה אהבה!,Negative
איכס איזה איש מגעיל,Negative
"תקשיב לי טוב, תקשיב לי טוב יבן זונה אתה והחבר שלך, אתה יודע מה אני עושה לכם??",Negative
לא משהו שבוקס לפנים לא היה פותר,Negative
הלו פאפי פודל היית פודל תשאר היום אתה אומר ככה עוד שעה אם הזנב בין הרגליים ליברפלוץ אפילו פוטין אמר שאתה פודל,Negative
"שמולנית מזריחה
",Negative
הדביל השתבש לגמרי,Positive
אין עוד מהלך Game over!,Positive
למה כי אתה קנאי מת להפיל את נתניהו תתבייש אין טוב ממנו,Positive
"יאללה בואו נביא עוד מוטציות חדשות ,חרבו דרבו",Positive
"בושה למדינה על מתן חופש דיבור לכשכאלה , שינסו לדבר כך באחת מארצות ערב ,ואז ניראה מה תהיה התוצאה. ועוד אוכלים על חשבוננו",Positive
זה הדבר הכי חשוב בוער במדינה...דווקא כדי להעיף אותך וכל הפרקליטות המושחתת נצביע מחל ורק מחל. יימח שמו וזכרו המנדלבליט הזה,Positive
לא צריך להסיר חסינות בקרוב גולן לא יהיה בכנסת כי מרץ לא עובר אחוז החסימה בן גביר כן יהיה בכנסת,Positive
רק בגללו אנחנו בבחירות רביעיות,Positive
@Lehavi_Tactics תסתום תפה יבן זונה?,Negative
חבל שיוצא רק עכשיו והלוואי ויטופל בכל החומרה,Positive
"הבחירות החוזרות כנראה מאת ה' כי היה ברור שלא יכולת להיות ראש ממשלה עם שפה כזאת זולה סוף מעשה במחשבה תחילה לא ללכלך את הפה ואח""כ להתנצל בושה וחרפה",Negative
אין אמונה בערבי 40 שנה בקבר.,Positive
טיפש,Negative
מי יכול לבחור ברוסי חמור כזה .רק מבוגרים .ורוסים שיש להם אינטרס,Positive
גועל נפש גדול מאוד,Negative
חדשות של מחבלים אתם לא פחות מזה שונאי ישראל,Positive
פקה פקה הביתה,Positive
ממורמר תמיד רע לך די לשקר,Positive
אוקיי אם היא מקבלת משהו פיצוי על הציוץ הזה זאת הזיה. וגם תקדים למקרים אחרים. תתחילו לצלם מסכים של כל המקללים למיניהם,Positive
ביבי לא יכול לטוס לאמירויות בלעדיה היא קובעת לו איך לטוס ומתי ותמיד היא מצטרפת לטיסה,Positive
השרץ מבלפור וחבורת הזבל סביבו חייבים לעוף,Negative
זה פסיכופט על כל הראש הייתי דוחף לו את המגפון לתחת,Negative
הבנאדם על כדורים???? מאיפו הוא הביא את הסיפורים האלה? כנראה רוצה להביא חומרים לגב האומה....שליין יעשה מזה הצגה...,Negative
��💛💛💛💛💙💙💙💙💙💙💙מגיל 18 אני בוחר ליכוד!!!!!הפעם לא רק אני אלא המשפחה הרחבה שלי בוחרת בך‼️‼️‼️‼️‼️💙💙💙💙💙💛💛💛💛💛,Positive
חף מפשע,Negative
