text,label
"@HShvili @oded_oded_oded @mossi_raz חמאס לא רוצה לשבת עם ישראל למו""מ",0
"@Sharpest_pencil עיוור מכעס. אפילו העובדות לא גלויות לך, כמה רוצחים כלואים אצלנו? כמה אסירים שבהגדרה הם פוליטיים? מה מעמד אסיר שלא רצח והוא ממקום שתחת כיבוש צבאי בלתי חוקי, על רקע מלחמה בין עמים? מה משמעות מניעת חיסון במקום סגור צפוף מה המשמעות המדינית לצעד כזה? מה המשמעות המעשית בהשוואה לאייכמן?",0
Itsik Chiprout אתה מבין על מה אני מדבר,0
"בית הדין, בראשותו של פרופ' מוחמד ותד, קיבל בכך, פה אחד, את ערעורה של עמותת הצלחה לקידום חברה הוגנת (ע""ר) באמצעות בא-כוחה עו״ד אלעד מן, על פסיקה קודמת של בית הדין לאתיקה בעקבות תלונתה של עמותת הצלחה מיום 22.11.2019, שביקשה, כי בית-הדין יפעל לפי סמכותו המעוגנת בסעיף 25(א) לתקנון",0
"@AviBenayahu יש הבדל בין לשריין ערבי לבין לשריין מחבל או תומך טרוריסטים, זה רק מעיד על הגזענות והאדנות של השמאל. רוב הימין יודע שיש די הרבה ערבים אוהבי המדינה שרוצים שיהיה פה טוב לכולם",0
RT @clownkichi: BANDAID - WALMART PARKING LOT hebrew translation אני פשוט רוצה ללכת לוולמארט בשלוש בלילה מגרש חנייה ריק לגנוב עגלת קניות…,0
RT @reza14fr80: הוא היה זה שהראה היטב כיצד להפוך מילים לפעולה. הוא הבטיח להשמיד את דאעש ופעל על פיו. #HERO #برای_سرباز https://t.co/PWrWYIK…,0
"תיקון טעות: על השלט חתום באופן אישי איסמאעיל הניה והיא הוצב בעזה כנראה על ידי חמאס. תשומת לב להשקעה בלוגו שבו נכתב ""שהיד אלקודס"" המשלב בין כיפת הסלע לבין הטבעת המפורסמת של קאסם סולימאני. https://t.co/HbBHtLXQEY https://t.co/1npoA0NXf3",0
בריאות איתנה והחלמה מהירה,0
"@Don_MacLoof מתגעגע לימים שהיו מאחלים ערבי ג'ינגי עם חצקונים, שמח שהאיחולים מתרחבים לאוכלוסיות נוספות. שיהיה מבחר :)",0
"@attaliami זה כלול בהסכם @netanyahu ואח מוסלמי עבאס ובאישורו של הסולטן המטורף, אח מוסלמי ראשי.",0
"@GorenEli נהוג שמי שחוזר משבי מתוחקר על הסודות שגילה לאויב. מה, ארה״ב לא אויב?",0
@BokerIris בדיוק היה אנטישמי גדול.,0
@Riklin10 סתם הם לא אוהבים נאשמים בשוחד שדואגים לתחת של עצמם ומוכנים לשרוף את המדינה תכונה מוזרה שכזאת,0
