
אינתיפאדה,Intifada
אינתיפאדות,Intifades
איסלאם,Islam
איסלאמיסט,Islamist
אנטי-ציוני,Anti-Zionist
אנטישמי,Anti -Semitic
אש"ף,wizard
בדווי,Bedouin
דאעש,ISIS
הריסה,Demolition
הריסת,Demolition
התנחלות,Settlement
זועביז,Zohabiz
חמאס,Hamas
חמאסניק,Hamasnick
טרור,terrorism
טרוריסט,terrorist
יימח,Stretched
ימות,will die
ימח,Yo
כיבוש,occupation
לאומני,nationalistic
לאנוס,rape
להשמיד,destroy
לרצוח,murder
לשחוט,slaughter
לשרוף,Burn
מוחמד,Muhammad
מוסלמי,Moslem
מחבל,terrorist
מתנחל,settler
נכבה,Nakba
עוכר,Ocher
עזה,Gaza
ערבוש,Mix
ערבי,Arabic
פיגוע,An attack
פלסטין,Palestine
פלסטינאי,Palestinian
פלסטיני,Palestinian
פלשטין,Palestine
פלשטינאי,Palestine
פלשטינה,Palestine
פלשטיני,Palestine
צה"ל,IDF
ציוני,Zionist
רוצח,murderer
רמאללה,Ramallah
רצח,murder
רקטה,rocket
רקטות,Rockets
שאהיד,Shahid
שהיד,That the hand
שיישרף,To be burned
