text,label
"@YinonMagal שמאלן ארור. אתה השוות ב""פטריוטים"" את אהןביה הי""ד לטרוריסט ערבי. צריכים לזרוק אותך מערוץ20. אתה סוס טרויאני בימין.נוכל. ומהנדס תודעה שמאלי ברמות. שונא. דקל.",Positive
"מפגין שזורק אבנים על שוטרים איננו מפגין אלא פושע שמקומו בכלא. אין שום קשר בין הפגנות לבין יידוי אבנים. אינתיפאדה אלימה של מתנחלים היא אירוע לטיפול שב""כ. https://t.co/BEJuPAcrT7",Positive
@netanyahu אתה יכול ללכת רק עם המלך שלנו מוחמד 6 ואנשיו זה לצד זה אם אתה משנה את המפה מאחוריך ואת כל הרשמיים המשמשים את מדינתך. תודה,Positive
"חזרתי הבייתה לכמה ימים וזכיתי לתזכורת מרנינה להתנהגות של מידי אחות. היא פצחה במונולוג הצעקות הרגיל שלה שבו היא מדברת רק על עצמה ללא שום עניין בצד השני. דורשת מכולם התחשבות מקסימלית בה, מלכלכת את הבית ומשליטה את טרור הטירוף הרגיל שלה. כמובן שהיא מקנחת ב""למה לא אכפת לכם ממני"" 🥺",Positive
"@Eyal09594379 @yeudaprl @chavashteig @YinonMagal אתה בטח גם מאמין לאלשיך המפכ""ל שאבו אלקיען מחבל, נכון? אז המשטרה אמרה, וואוווו.",Positive
RT @nfsgalibh: הביטו בזה ותבינו איך המשטרה היתה יכולה בקלות לרצוח בדם קר את הנער - שהמפגינים האלו מוחים לקבל עבורו צדק! ככה הם גם יפלילו א…,Positive
"@YinonMagal זה עדיין לא קרוב להתפרעות של הקהילה האתיופית אחרי רצח הנער סלומון טקה ז""ל. גם האימפתיה שהם קיבלו כשהם התפרעו..",Positive
"@gbentsi @Shutup100000 @YinonMagal גם לידוי אבנים פלסטיני יש גורם ותוצאה? חשבת לכתוב טור ב""הארץ""?",Positive
RT @8593880chaia: @Blockers2020 הכלל במשטרה= חרד= בואש לנשמה. מתנחל =מכתזית מדהימה. שמאל חצוץ= דממה.,Positive
RT @MorRoey: @eran_singer נתניהו זה פיגוע בלב הציונות בוגד בביטחון המדינה מהצוללות ועד עזה,Positive
"יש מפגינים שמקבלים סיקור חיובי, ויש שחוטפים מכות רצח. הערב בירושלים (קרדיט צלם לא ידוע) https://t.co/txPyq1Rwip",Positive
@IAFsite Long live Palestine. תחי פלסטין تحيا فلسطين https://t.co/Vfku1PztF4,Positive
RT @berale_crombie: ראיתי הערב עשרות מקרי אלימות כאלה. מכות רצח לשם מכות. אין קשר לאכיפה. 8 חודשים מפגיני בלפור לא ראו רבע מהאלימות בהפגנה…,Positive
@AyOdeh חשבתי תגנה את רצח הורגן,Positive
@amitlev @YaHo2021 ממוצא ערבי,Positive
@yaelshevach @BoazAri בתור ילד ירושלמי ממלמל תהילים כדי שלא יהיה פיגוע,Positive
@yarivop @YinonMagal לפחות הוא מבקש שיפסיקו אנחנו עדיין מחכים שתגיד לפלסטינים להפסיק לרצוח יהודים,Positive
"@gbcthfgh @ramirushkeviz @yaircherki לא אמרתי את זה, אמרתי יהודי בלבד, אני בבירור ציינתי את זה, לא כוחות ביטחון, רק יהודי, האם יש הבדל או לא ? האם יש הבדל בין יהודי שמשליך אבנים על פלסטיני, לבין פלסטיני שמשליך אבנים על יהודי, ואף אחד מהם לא נמצא בכוחות הביטחון של משהו, אלא עושה את זה מדעת עצמו בלבד ?",Positive
@Hakiranow שיהיה לכם שחור כל החיים אמן ואמן על נשמתכם רק שחור ימח שימכם,Positive
RT @uribreitman: מפגין שזורק אבנים על שוטרים איננו מפגין אלא פושע שמקומו בכלא. אין שום קשר בין הפגנות לבין יידוי אבנים. אינתיפאדה אלימה של…,Positive
RT @judash0: זה אכן יצא ונראה לא מאוזן אבל לדעתי זו לא הייתה הכוונה. בשבוע שעבר לדיון אידיאולוגי הוזמנו 2 מול 2 (רונן צור וברק רביד מול…,Positive
RT @yaronavraham: הראיון המלא עם העיתונאי המרוקני מוחמד בודן - הערב בסדר עולמי @sederolami @N12News https://t.co/n94cACJ2tB,Positive
@ha_makom ולמה אתם לא מסקרים את זה שלא השתמשו במכתזית כשמפגיני בלפור צעדו עם לפידים והבעירו מדורה? למה רק את המוחים על רצח הנער בידי המשטרה? מתברר שגם לכם שמור מקום בגיהנום.,Positive
"@ayeletsl @AmirOhana מיותר לציין שאת ממש לא היחידה. תגידו ביבי ביבי ביבי. בינתיים דופקים מכות רצח לאנשי ימין, לחרדים. חוטפים ילד מאביו, דורסים ילד למוות. בואשים, סגירת תיקים ע״י מחש. והשמאלנים עושים מסיבות של אלפים, בירקון בכייף בלי הפרעה אפסים אחד אחד בממשלה הזאת. מראש הממשלה ועד האחרון שבהם. אפסים",Positive
"@SigalBarak1 @vasko0987 @LevOrly וזה נראה לך תקין? רוצה להפוך רצח לנורמה? ראש ממשלה, בדמוקרטיה, מחליפים רק בקלפי! חבל שרוצח ודיקטטורים מרחבי העולם, נותנים לכם רעיונות...",Positive
"@AyOdeh הכל מתהפך עליך. בסוף החברה הערבית שאותה אתב מתיימר לייצג שוקעת בפשיעה כי לא השכלתם לפעול עבורם במתן לגיטימיות לשלטון יהודי על ערבי. מתוך תפיסה גזענית שלך ושל חלק מחבריך לסיעה. נראה שהפעם המצביעים שלכם כבר יצביעו ברגליים, לנוכח האפסיות שהפגנתם. זהו, אין פאנץ'. חאלס די!",Positive
