text,label
השמאל בישראל הוא מרצ. על הגדר לצידם יושבים עוכרי ישראל המכונים הרשימה המשותפת. אין שמאל אחר. כל יתר המפלגות הן מרכז או מרכז ימין ציוני. https://t.co/udQIh1NVG8,Negative
" זה ספין לפני בחירות שידביק שוב לימין את רצח רבין, עיתוי גרוע להעלות את הסיפור. מסכים עם סמדר לחלוטין",Positive
 אתה ערבי ואדם נחמד. כמובן לא היחיד. שירבו כמותך!,Negative
"RT: האלימות בחברה הערבית הייתה מטרידה אותי הרבה יותר אם זו לא הייתה חברה שמצביעה ברוב עצום למעריצי רוצחים נאצים, שביצעו מעש…",Positive
 על גדעון סער או על בנט יהיה אפשר ללחוץ מימין לפעול יותר בתקיפות. ביבי הוא שליט יחיד ויש לו קהל שבוי שיתמוך בו בלי קשר לכלום. הייתי מצפה לתקיפת מחסני רקטות בכל פעם שיש צבע אדום.,Positive
אני חייבת עזרה אני מתלבטת אם לספר לאמא שלי שאני שותה בסילבסטר או לא כי מצד אחד אני שונאת רצח לשקר לה ובאלי גם שהיא תדע זה יוריד לי אבן מהלב ומצד שני אמא שלי בטוחה שאני עדיין הילדה הקטנה שלה ואני מפחדת שהיא ממש לא תאהב תרעיון ולא תרשה לי או לשתות או לבוא בכלל......,Positive
"דפנה ליאל: נתניהו משנה כיוון - הערבים ינהרו, אבל הפעם הוא מקווה שלליכוד. נתניהו ישיק בקרוב תוכנית למיגור הפשיעה ומתייעץ לגבי שיריון מועמד ערבי במפלגה",Negative
"RT: איך זה ש הביא לנו חיסונים בין הראשונים על הגלובוס והפך את ישראל לשאינית מתחסנים עולמית, ובסוף רפי רשף מודה לאח…",Positive
" תוסיף שנתניהו חיסל את שלטון חמאס, לא תקע רגליים לשר הביטחן ליברמן בתוכנית שלו לפגוע קשה בחמאס, לא קבר את חוק עונש מוות למחבלים ולא שחרר 1000 רוצחים תמורת חייל אחד",Positive
"#شارك_وانشر אם יסתבך האויב הישראלי בכל טיפשות נגד עמנו, עמנו לא יהסס בהכרזת הגיהאד למען האל נגד האויב הזה, אנחנו לא נהסס להקות הכי חזק שאפשר כדי לפגוע במטרות הרגישות ביותר אצל הישות הציונית. * אדון עבד אלמלק אלחות'י במהלך אירוע יום הולדת הנביא מוחמד המכובד https://t.co/SGqC3GSZ4K",Positive
" לא שכחנו לבן גוריון שניסה לחסל את מנחם בגין.רצח פוליטי. לא שכחנו לבן גוריון את הסלקציה בין העולים מאירופה,לבין העולים ממדינות,פחות נחשבות,בעבודה ומגורים. לא שכחנו לבן גוריון את הפנקס האדום- מי שיש לו פנקס אדום,יעבוד בעבודה טובה ומי שאין לו,שילך לחפש. https://t.co/0XZBnnVEbY",Positive
" הצבא והמשטרה הורגים ערבים כל הזמן, ממוצע של לפחות אחד בשבוע וזה מעולם לא הטריד את סגל בנו של הרוצח. בהפגנות הגדר בעזה נטבחו בידי צלפי צה""ל מאות מפגינים לא חמושים ורק בריון מיידה אבנים אחד שנהרג בעת מרדף מטריד את מנוחתו של הגזען בן רוצח.",Negative
